FIPS,Confirmed,Deaths,Recovered,Active,Date
22011.0,1,0,0,0,03-23-2020
40007.0,0,0,0,0,03-23-2020
42007.0,3,0,0,0,03-23-2020
49001.0,0,0,0,0,03-23-2020
30001.0,0,0,0,0,03-23-2020
27005.0,0,0,0,0,03-23-2020
40009.0,0,0,0,0,03-23-2020
42009.0,0,0,0,0,03-23-2020
47003.0,0,0,0,0,03-23-2020
51019.0,1,0,0,0,03-23-2020
48025.0,0,0,0,0,03-23-2020
33001.0,4,0,0,0,03-23-2020
21013.0,0,0,0,0,03-23-2020
48027.0,16,0,0,0,03-23-2020
39013.0,2,0,0,0,03-23-2020
27007.0,0,0,0,0,03-23-2020
13017.0,0,0,0,0,03-23-2020
16009.0,0,0,0,0,03-23-2020
46007.0,0,0,0,0,03-23-2020
50003.0,4,0,0,0,03-23-2020
38005.0,0,0,0,0,03-23-2020
8011.0,0,0,0,0,03-23-2020
5007.0,1,0,0,0,03-23-2020
18007.0,0,0,0,0,03-23-2020
19011.0,0,0,0,0,03-23-2020
27009.0,1,0,0,0,03-23-2020
28009.0,0,0,0,0,03-23-2020
29015.0,0,0,0,0,03-23-2020
41003.0,4,0,0,0,03-23-2020
47005.0,0,0,0,0,03-23-2020
53005.0,9,3,0,0,03-23-2020
26019.0,0,0,0,0,03-23-2020
34003.0,609,6,0,0,03-23-2020
45015.0,4,0,0,0,03-23-2020
54003.0,0,0,0,0,03-23-2020
42011.0,14,0,0,0,03-23-2020
25003.0,26,0,0,0,03-23-2020
35001.0,38,0,0,0,03-23-2020
13019.0,0,0,0,0,03-23-2020
26021.0,5,0,0,0,03-23-2020
37015.0,0,0,0,0,03-23-2020
2050.0,0,0,0,0,03-23-2020
48029.0,57,1,0,0,03-23-2020
1007.0,0,0,0,0,03-23-2020
13021.0,2,0,0,0,03-23-2020
22013.0,1,0,0,0,03-23-2020
30003.0,0,0,0,0,03-23-2020
56003.0,0,0,0,0,03-23-2020
27011.0,1,0,0,0,03-23-2020
38007.0,0,0,0,0,03-23-2020
16011.0,2,0,0,0,03-23-2020
19013.0,3,0,0,0,03-23-2020
18009.0,0,0,0,0,03-23-2020
37017.0,0,0,0,0,03-23-2020
16013.0,35,0,0,0,03-23-2020
30005.0,0,0,0,0,03-23-2020
31009.0,0,0,0,0,03-23-2020
40011.0,0,0,0,0,03-23-2020
42013.0,0,0,0,0,03-23-2020
48031.0,1,0,0,0,03-23-2020
51021.0,0,0,0,0,03-23-2020
13023.0,0,0,0,0,03-23-2020
47007.0,0,0,0,0,03-23-2020
1009.0,0,0,0,0,03-23-2020
47009.0,2,0,0,0,03-23-2020
27013.0,5,0,0,0,03-23-2020
16015.0,0,0,0,0,03-23-2020
28011.0,4,0,0,0,03-23-2020
29017.0,0,0,0,0,03-23-2020
46009.0,1,0,0,0,03-23-2020
17005.0,0,0,0,0,03-23-2020
16017.0,0,0,0,0,03-23-2020
16019.0,0,0,0,0,03-23-2020
5009.0,1,0,0,0,03-23-2020
17007.0,0,0,0,0,03-23-2020
18011.0,3,0,0,0,03-23-2020
19015.0,0,0,0,0,03-23-2020
21015.0,0,0,0,0,03-23-2020
29019.0,17,1,0,0,03-23-2020
31011.0,0,0,0,0,03-23-2020
54005.0,0,0,0,0,03-23-2020
48033.0,0,0,0,0,03-23-2020
48035.0,0,0,0,0,03-23-2020
22015.0,12,0,0,0,03-23-2020
51023.0,1,0,0,0,03-23-2020
38009.0,0,0,0,0,03-23-2020
8013.0,39,0,0,0,03-23-2020
16021.0,0,0,0,0,03-23-2020
20011.0,1,0,0,0,03-23-2020
21017.0,2,1,0,0,03-23-2020
48037.0,1,0,0,0,03-23-2020
38011.0,0,0,0,0,03-23-2020
31013.0,0,0,0,0,03-23-2020
49003.0,1,0,0,0,03-23-2020
21019.0,0,0,0,0,03-23-2020
31015.0,0,0,0,0,03-23-2020
21021.0,0,0,0,0,03-23-2020
21023.0,0,0,0,0,03-23-2020
12007.0,1,0,0,0,03-23-2020
42015.0,0,0,0,0,03-23-2020
5011.0,4,0,0,0,03-23-2020
47011.0,1,0,0,0,03-23-2020
26023.0,0,0,0,0,03-23-2020
13025.0,0,0,0,0,03-23-2020
54007.0,0,0,0,0,03-23-2020
48039.0,16,0,0,0,03-23-2020
48041.0,12,0,0,0,03-23-2020
21025.0,1,0,0,0,03-23-2020
21027.0,0,0,0,0,03-23-2020
19017.0,0,0,0,0,03-23-2020
12009.0,7,0,0,0,03-23-2020
48043.0,0,0,0,0,03-23-2020
48045.0,0,0,0,0,03-23-2020
25005.0,25,0,0,0,03-23-2020
44001.0,24,0,0,0,03-23-2020
51520.0,0,0,0,0,03-23-2020
2060.0,0,0,0,0,03-23-2020
30007.0,1,0,0,0,03-23-2020
36005.0,0,0,0,0,03-23-2020
54009.0,0,0,0,0,03-23-2020
46011.0,0,0,0,0,03-23-2020
13027.0,0,0,0,0,03-23-2020
48047.0,0,0,0,0,03-23-2020
36007.0,3,1,0,0,03-23-2020
8014.0,1,0,0,0,03-23-2020
12011.0,263,3,0,0,03-23-2020
17009.0,0,0,0,0,03-23-2020
18013.0,0,0,0,0,03-23-2020
20013.0,0,0,0,0,03-23-2020
27015.0,0,0,0,0,03-23-2020
31017.0,0,0,0,0,03-23-2020
39015.0,0,0,0,0,03-23-2020
46013.0,1,0,0,0,03-23-2020
48049.0,2,0,0,0,03-23-2020
55009.0,3,0,0,0,03-23-2020
46015.0,0,0,0,0,03-23-2020
37019.0,8,0,0,0,03-23-2020
51025.0,0,0,0,0,03-23-2020
13029.0,0,0,0,0,03-23-2020
40013.0,0,0,0,0,03-23-2020
19019.0,0,0,0,0,03-23-2020
29021.0,0,0,0,0,03-23-2020
51027.0,0,0,0,0,03-23-2020
51029.0,0,0,0,0,03-23-2020
42017.0,43,0,0,0,03-23-2020
19021.0,0,0,0,0,03-23-2020
51530.0,0,0,0,0,03-23-2020
31019.0,2,0,0,0,03-23-2020
46017.0,0,0,0,0,03-23-2020
55011.0,0,0,0,0,03-23-2020
21029.0,0,0,0,0,03-23-2020
13031.0,0,0,0,0,03-23-2020
1011.0,0,0,0,0,03-23-2020
37021.0,8,0,0,0,03-23-2020
17011.0,0,0,0,0,03-23-2020
13033.0,0,0,0,0,03-23-2020
37023.0,0,0,0,0,03-23-2020
38013.0,0,0,0,0,03-23-2020
38015.0,16,0,0,0,03-23-2020
48051.0,0,0,0,0,03-23-2020
34005.0,36,0,0,0,03-23-2020
48053.0,1,0,0,0,03-23-2020
55013.0,0,0,0,0,03-23-2020
31021.0,0,0,0,0,03-23-2020
1013.0,0,0,0,0,03-23-2020
