FIPS,hospitals,icu_beds
13021,3,117
13023,1,0
13025,0,0
13027,1,0
13029,0,0
13031,1,24
13033,1,0
13035,1,0
13037,0,0
13039,1,5
13043,1,6
13045,2,18
13047,1,0
13049,0,0
13051,3,78
13053,0,0
13055,0,0
13057,1,15
13059,2,104
13061,0,0
13063,1,34
13065,1,0
13067,2,119
13069,1,10
13071,2,10
13073,0,0
13075,1,0
13077,2,19
13079,0,0
13081,1,16
13083,0,0
13085,0,0
13087,1,10
13089,3,168
13091,1,6
13093,1,0
13095,1,50
13097,1,8
13099,1,0
13101,0,0
13103,1,0
13105,1,4
13107,1,8
13109,1,0
13111,1,5
13113,1,37
13115,2,65
13117,1,24
13119,1,8
13121,7,538
13123,0,0
13125,0,0
13127,1,24
13129,1,8
13131,1,4
13133,1,0
13135,3,82
13137,1,4
13139,1,85
13141,0,0
13143,1,0
13145,0,0
13147,0,0
13149,0,0
13151,1,40
13153,2,36
13155,1,0
13157,1,0
13159,1,0
13161,1,4
13163,1,0
13165,1,0
13167,0,0
13169,0,0
13171,0,0
13173,1,0
13175,1,16
13177,0,0
13179,1,0
13181,0,0
13183,0,0
13185,1,48
13187,0,0
13189,1,0
13191,0,0
13193,0,0
13195,0,0
13197,0,0
13199,1,0
13201,1,0
13205,1,0
13207,1,0
13209,0,0
13211,1,0
13213,1,0
13215,3,61
13217,1,10
13219,0,0
13221,0,0
13223,1,8
13225,1,0
13227,1,6
13229,0,0
13231,0,0
13233,1,0
13235,1,6
13237,1,0
13239,0,0
13241,1,0
13243,1,0
13245,3,264
13247,1,16
13249,0,0
13251,1,0
13253,1,0
13255,1,22
13257,1,6
13259,0,0
13261,1,10
13263,0,0
13265,0,0
13267,1,0
13269,0,0
13271,0,0
13273,0,0
13275,1,35
13277,1,20
13279,1,8
13281,1,0
13283,0,0
13285,1,20
13287,0,0
13289,0,0
13291,1,5
13293,1,28
13295,0,0
13297,1,7
13299,1,22
13301,0,0
13303,1,0
13305,1,12
13307,0,0
13309,0,0
13311,0,0
