FIPS,"Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18"
38035,"2,117","9,566","15,263","14,220",5.1,23.2,37.1,34.5
38037,157,664,648,310,8.8,37.3,36.4,17.4
38039,162,516,570,437,9.6,30.6,33.8,25.9
38041,253,668,699,272,13.4,35.3,36.9,14.4
38043,174,606,645,310,10,34.9,37.2,17.9
38045,470,817,954,707,15.9,27.7,32.4,24
38047,191,516,487,235,13.4,36.1,34.1,16.4
38049,422,"1,418","1,494",824,10.1,34.1,35.9,19.8
38051,404,602,681,341,19.9,29.7,33.6,16.8
38053,625,"2,191","2,800","1,987",8.2,28.8,36.8,26.1
38055,572,"2,373","2,591","1,428",8.2,34.1,37.2,20.5
38057,443,"1,635","2,655","1,307",7.3,27.1,44,21.6
38059,"1,800","6,540","7,404","5,613",8.4,30.6,34.7,26.3
38061,581,"2,048","2,486","1,324",9,31.8,38.6,20.6
38063,183,681,840,499,8.3,30.9,38.1,22.7
38065,135,415,516,245,10.3,31.7,39.4,18.7
38067,583,"1,676","1,808","1,040",11.4,32.8,35.4,20.4
38069,243,"1,066","1,125",579,8.1,35.4,37.3,19.2
38071,643,"2,275","2,894","2,058",8.2,28.9,36.8,26.1
38073,281,"1,497","1,298",753,7.3,39.1,33.9,19.7
38075,104,591,740,311,6,33.8,42.4,17.8
38077,993,"2,909","4,390","2,283",9.4,27.5,41.5,21.6
38079,"1,143","2,092","3,419","1,660",13.7,25.2,41.1,20
38081,234,"1,038","1,058",495,8.3,36.7,37.5,17.5
38083,158,410,408,120,14.4,37.4,37.2,10.9
38085,380,762,843,385,16,32.2,35.6,16.2
38087,56,146,181,138,10.7,28,34.7,26.5
38089,"1,646","6,620","7,207","4,595",8.2,33,35.9,22.9
38091,51,406,552,383,3.7,29.2,39.7,27.5
38093,"1,292","5,017","4,770","3,409",8.9,34.6,32.9,23.5
38095,132,531,687,300,8,32.2,41.6,18.2
38097,396,"1,382","2,183","1,449",7.3,25.5,40.4,26.8
38099,"1,081","2,595","2,692","1,285",14.1,33.9,35.2,16.8
38101,"2,854","13,459","14,741","12,246",6.6,31.1,34,28.3
38103,450,"1,025",860,662,15,34.2,28.7,22.1
38105,"1,716","5,736","8,860","5,390",7.9,26.4,40.8,24.8
