FIPS,"Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18"
0,"26,948,057","59,265,308","63,365,655","68,867,051",12.3,27.1,29,31.5
1000,"470,043","1,020,172","987,148","822,595",14.2,30.9,29.9,24.9
1001,"4,204","12,119","10,552","10,291",11.3,32.6,28.4,27.7
1003,"14,310","40,579","46,025","46,075",9.7,27.6,31.3,31.3
1005,"4,901","6,486","4,566","2,220",27,35.7,25.1,12.2
1007,"2,650","7,471","3,846","1,813",16.8,47.3,24.4,11.5
1009,"7,861","13,489","13,267","5,010",19.8,34,33.5,12.6
1011,"1,760","2,817","1,582",945,24.8,39.7,22.3,13.3
1013,"2,141","6,091","3,421","2,235",15.4,43.9,24.6,16.1
1015,"12,620","25,653","26,643","14,219",15.9,32.4,33.7,18
1017,"4,383","9,060","7,003","3,118",18.6,38.4,29.7,13.2
1019,"3,692","7,157","5,417","2,407",19.8,38.3,29,12.9
1021,"5,302","13,125","7,147","4,219",17.8,44.1,24,14.2
1023,"1,754","3,606","2,851","1,225",18.6,38.2,30.2,13
1025,"3,175","7,372","4,205","2,118",18.8,43.7,24.9,12.6
1027,"2,275","3,366","2,700",944,24.5,36.3,29.1,10.2
1029,"2,364","4,135","2,518","1,428",22.6,39.6,24.1,13.7
1031,"4,833","9,723","12,181","8,175",13.8,27.9,34.9,23.4
1033,"6,016","13,927","11,459","7,236",15.6,36,29.7,18.7
1035,"1,703","4,315","1,881",949,19.2,48.8,21.3,10.7
1037,"1,675","3,178","2,424",953,20.4,38.6,29.5,11.6
1039,"4,530","9,368","8,588","3,952",17.1,35.4,32.5,14.9
1041,"2,091","3,753","2,326","1,505",21.6,38.8,24,15.6
1043,"10,405","20,382","18,559","7,866",18.2,35.6,32.4,13.7
1045,"4,732","10,924","12,036","5,690",14.2,32.7,36.1,17
1047,"5,135","9,368","8,076","4,021",19.3,35.2,30.4,15.1
1049,"12,394","15,956","13,441","6,085",25.9,33.3,28.1,12.7
1051,"7,594","18,304","16,197","13,664",13.6,32.8,29,24.5
1053,"4,792","11,546","6,340","3,287",18.5,44.5,24.4,12.7
1055,"11,147","23,665","24,416","12,767",15.5,32.9,33.9,17.7
1057,"2,060","4,868","3,273","1,516",17.6,41.5,27.9,12.9
1059,"4,835","7,666","5,632","2,679",23.2,36.8,27.1,12.9
1061,"3,891","6,924","5,720","2,063",20.9,37.2,30.8,11.1
1063,"1,406","2,149","1,689",589,24.1,36.8,29,10.1
1065,"1,647","4,292","2,711","1,421",16.4,42.6,26.9,14.1
1067,"2,412","4,081","3,487","2,187",19.8,33.5,28.7,18
1069,"10,261","22,680","23,681","15,076",14.3,31.6,33,21
1071,"6,526","15,181","10,238","5,280",17.5,40.8,27.5,14.2
1073,"46,025","120,037","137,208","145,462",10.3,26.8,30.6,32.4
1075,"1,741","3,950","2,967","1,235",17.6,39.9,30,12.5
1077,"7,979","22,812","17,453","15,185",12.6,36,27.5,23.9
1079,"4,919","9,710","6,028","2,738",21,41.5,25.8,11.7
1081,"9,049","22,855","30,707","32,377",9.5,24.1,32.3,34.1
1083,"10,123","19,463","18,341","16,367",15.7,30.3,28.5,25.5
1085,"1,588","2,722","1,750",996,22.5,38.6,24.8,14.1
1087,"2,215","3,658","3,752","2,510",18.3,30.1,30.9,20.7
1089,"21,617","50,768","69,750","101,650",8.9,20.8,28.6,41.7
1091,"2,192","5,378","3,869","2,084",16.2,39.8,28.6,15.4
1093,"4,343","7,435","6,770","2,806",20.3,34.8,31.7,13.1
1095,"12,151","19,818","19,442","12,233",19.1,31.1,30.5,19.2
1097,"38,247","92,986","82,763","63,703",13.8,33.5,29.8,22.9
1099,"2,409","6,805","3,464","2,078",16.3,46.1,23.5,14.1
1101,"21,646","38,289","41,976","48,131",14.4,25.5,28,32.1
1103,"13,706","24,350","26,356","17,849",16.7,29.6,32,21.7
1105,"1,275","2,293","1,334",913,21.9,39.4,22.9,15.7
1107,"2,829","5,352","4,425","1,959",19.4,36.7,30.4,13.5
1109,"3,660","6,405","4,657","4,536",19,33.3,24.2,23.6
1111,"3,340","5,719","4,329","2,350",21.2,36.3,27.5,14.9
1113,"6,495","12,583","13,434","6,438",16.7,32.3,34.5,16.5
1115,"9,255","21,865","19,587","9,991",15.2,36,32.3,16.5
1117,"11,258","29,106","42,634","60,424",7.8,20.3,29.7,42.1
1119,"1,238","2,969","1,936","1,715",15.8,37.8,24.6,21.8
1121,"10,671","19,607","17,827","8,017",19,34.9,31.8,14.3
1123,"5,581","9,402","8,355","5,244",19.5,32.9,29.2,18.3
1125,"14,748","38,097","36,040","38,669",11.6,29.9,28.3,30.3
1127,"8,606","16,685","14,479","5,204",19.1,37.1,32.2,11.6
1129,"2,243","4,954","2,996","1,276",19.6,43.2,26.1,11.1
1131,"1,662","2,903","1,738",901,23.1,40.3,24.1,12.5
1133,"3,755","6,420","4,683","2,326",21.9,37.4,27.3,13.5
2000,"34,760","133,851","169,471","139,645",7.3,28,35.5,29.2
2010,,,,,,,,
2013,358,"1,061",882,336,13.6,40.2,33.4,12.7
2016,459,"1,664","1,309",675,11.2,40.5,31.9,16.4
2020,"11,867","45,753","66,655","67,719",6.2,23.8,34.7,35.3
2050,"1,798","4,371","2,314","1,194",18.6,45.2,23.9,12.3
2060,36,225,240,144,5.6,34.9,37.2,22.3
2068,25,418,461,697,1.6,26.1,28.8,43.5
2070,370,"1,138",835,559,12.7,39.2,28.8,19.3
2090,"3,381","13,785","24,520","20,152",5.5,22.3,39.7,32.6
2100,57,561,553,701,3,30,29.5,37.4
2105,143,598,546,393,8.5,35.6,32.5,23.4
2110,878,"4,584","8,138","8,879",3.9,20.4,36.2,39.5
2122,"2,902","12,989","15,008","9,378",7.2,32.2,37.3,23.3
2130,701,"2,865","3,671","2,343",7.3,29.9,38.3,24.5
2150,889,"2,747","2,863","2,285",10.1,31.3,32.6,26
2158,880,"2,117",760,190,22.3,53.6,19.3,4.8
2160,,,,,,,,
2164,123,356,237,134,14.5,41.9,27.9,15.8
2170,"5,068","21,381","25,899","14,073",7.6,32.2,39,21.2
2180,872,"2,347","1,457",799,15.9,42.9,26.6,14.6
2185,666,"2,797","1,968","1,079",10.2,43,30.2,16.6
2188,759,"1,982",956,489,18.1,47.3,22.8,11.7
2195,219,680,647,589,10.3,31.9,30.3,27.6
2198,440,"1,668","1,577",787,9.8,37.3,35.3,17.6
2201,,,,,,,,
2220,371,"1,741","2,026","2,004",6,28.3,33,32.6
2230,51,189,296,273,6.3,23.4,36.6,33.7
2231,,,,,,,,
2232,,,,,,,,
2240,436,"1,451","1,717",851,9.8,32.6,38.5,19.1
2250,,,,,,,,
2261,259,"2,111","2,114","1,981",4,32.7,32.7,30.6
2275,219,705,563,388,11.7,37.6,30,20.7
2280,,,,,,,,
2282,37,173,151,90,8.2,38.4,33.5,20
2290,496,"1,394","1,108",463,14.3,40.3,32,13.4
4000,"613,002","1,112,551","1,570,308","1,338,071",13.2,24,33.9,28.9
4001,"9,085","14,708","15,444","5,189",20.4,33.1,34.8,11.7
4003,"11,215","20,560","35,576","20,116",12.8,23.5,40.7,23
4005,"8,515","17,604","26,746","29,254",10.4,21.4,32.6,35.6
4007,"5,718","11,144","14,867","7,226",14.7,28.6,38.2,18.5
4009,"3,379","7,028","9,526","3,598",14.4,29.9,40.5,15.3
4011,658,"2,155","2,433",709,11,36.2,40.9,11.9
4012,"3,606","5,248","5,084","1,972",22.7,33,32,12.4
4013,"354,513","634,810","923,098","899,070",12.6,22.6,32.8,32
4015,"22,957","54,288","58,539","20,104",14.7,34.8,37.6,12.9
4017,"11,963","20,957","25,708","11,025",17.2,30.1,36.9,15.8
4019,"79,230","152,408","230,498","216,291",11.7,22.5,34,31.9
4021,"41,961","85,546","105,949","54,794",14.6,29.7,36.8,19
4023,"7,127","7,957","8,006","6,138",24.4,27.2,27.4,21
4025,"16,623","44,214","67,706","43,270",9.7,25.7,39.4,25.2
4027,"36,452","33,924","41,128","19,315",27.9,25.9,31.4,14.8
5000,"276,029","681,223","590,434","451,621",13.8,34.1,29.5,22.6
5001,"2,121","4,774","3,646","1,937",17,38.3,29.2,15.5
5003,"2,465","5,563","4,066","1,838",17.7,39.9,29.2,13.2
5005,"3,747","11,090","11,007","5,802",11.8,35,34.8,18.3
5007,"20,120","49,182","44,756","54,780",11.9,29.1,26.5,32.4
5009,"3,375","8,779","9,652","4,145",13,33.8,37.2,16
5011,"1,352","3,120","1,880","1,142",18,41.6,25.1,15.2
5013,649,"1,636","1,013",452,17.3,43.6,27,12.1
5015,"2,788","6,788","6,055","4,015",14.2,34.6,30.8,20.4
5017,"1,451","2,954","2,012","1,110",19.3,39.2,26.7,14.7
5019,"1,422","4,021","4,090","3,642",10.8,30.5,31,27.6
5021,"2,047","4,363","2,944","1,228",19.3,41.2,27.8,11.6
5023,"2,865","7,630","5,464","2,796",15.3,40.7,29.1,14.9
5025,649,"2,689","1,438",920,11.4,47.2,25.2,16.2
5027,"2,210","5,880","3,602","3,028",15,39.9,24.5,20.6
5029,"2,059","6,333","3,871","2,329",14.1,43.4,26.5,16
5031,"7,370","23,120","19,413","17,809",10.9,34.1,28.7,26.3
5033,"6,227","15,708","13,588","6,432",14.8,37.4,32.4,15.3
5035,"5,461","10,890","9,132","5,607",17.6,35,29.4,18
5037,"1,974","4,768","2,964","1,771",17.2,41.5,25.8,15.4
5039,862,"2,284","1,401",721,16.4,43.4,26.6,13.7
5041,"1,677","3,487","1,772",984,21.2,44,22.4,12.4
5043,"1,744","4,150","3,414","2,420",14.9,35.4,29.1,20.6
5045,"6,483","22,846","22,986","22,472",8.7,30.5,30.7,30
5047,"2,106","4,844","3,701","1,423",17.4,40.1,30.7,11.8
5049,"1,364","3,282","3,140","1,043",15.4,37.2,35.6,11.8
5051,"8,243","22,357","26,033","14,335",11.6,31.5,36.7,20.2
5053,"1,065","5,517","3,625","2,287",8.5,44.2,29,18.3
5055,"3,767","13,130","8,074","4,734",12.7,44.2,27.2,15.9
5057,"2,734","5,317","4,161","2,178",19,36.9,28.9,15.1
5059,"3,495","9,489","7,464","3,526",14.6,39.6,31.1,14.7
5061,"1,515","3,312","2,733","1,308",17.1,37.3,30.8,14.7
5063,"3,577","9,016","7,804","4,754",14.2,35.8,31,18.9
5065,"1,511","3,825","3,393","1,397",14.9,37.8,33.5,13.8
5067,"2,600","5,061","3,408","1,254",21.1,41.1,27.7,10.2
5069,"6,620","18,270","14,074","8,432",14,38.5,29.7,17.8
5071,"3,565","7,124","3,860","2,735",20.6,41.2,22.3,15.8
5073,909,"2,055","1,192",821,18.3,41.3,24,16.5
5075,"1,636","4,551","3,393","1,696",14.5,40.4,30.1,15
5077,"1,831","2,770","1,578",607,27,40.8,23.3,8.9
5079,"1,910","5,127","2,259",903,18.7,50.3,22.1,8.9
5081,"1,041","3,758","2,989","1,003",11.8,42.7,34,11.4
5083,"2,278","6,875","4,284","1,846",14.9,45,28,12.1
5085,"5,363","16,675","15,846","9,639",11.3,35.1,33.3,20.3
5087,"2,242","5,037","2,382","1,375",20.3,45.6,21.6,12.5
5089,"1,636","4,583","4,091","2,148",13.1,36.8,32.8,17.2
5091,"4,170","10,680","9,967","4,934",14,35.9,33.5,16.6
5093,"5,305","10,630","8,066","3,521",19.3,38.6,29.3,12.8
5095,"1,168","2,199","1,205",537,22.9,43,23.6,10.5
5097,"1,461","2,450","2,075",722,21.8,36.5,30.9,10.8
5099,787,"2,605","1,644",916,13.2,43.8,27.6,15.4
5101,994,"2,338","1,468",927,17.4,40.8,25.6,16.2
5103,"2,412","6,958","4,675","2,671",14.4,41.6,28,16
5105,"1,202","2,938","2,226",858,16.6,40.7,30.8,11.9
5107,"2,665","3,709","4,236","1,729",21.6,30.1,34.3,14
5109,"1,153","2,946","2,364","1,113",15.2,38.9,31.2,14.7
5111,"3,161","7,228","4,289","1,643",19.4,44.3,26.3,10.1
5113,"2,166","5,275","4,789","1,872",15.4,37.4,34,13.3
5115,"6,117","14,318","11,064","8,860",15.2,35.5,27.4,22
5117,"1,062","2,390","1,617",903,17.8,40,27.1,15.1
5119,"25,441","69,644","80,333","90,726",9.6,26.2,30.2,34.1
5121,"2,121","4,362","4,066","1,719",17.3,35.6,33.1,14
5123,"3,550","7,120","5,723","1,947",19.4,38.8,31.2,10.6
5125,"7,790","25,636","26,748","21,234",9.6,31.5,32.9,26.1
5127,"1,468","2,984","1,858",631,21.1,43,26.8,9.1
5129,902,"2,622","1,562",728,15.5,45.1,26.9,12.5
5131,"14,230","27,083","26,577","16,641",16.8,32,31.4,19.7
5133,"2,752","3,859","2,858","1,232",25.7,36.1,26.7,11.5
5135,"2,027","5,176","3,734","1,397",16.4,42,30.3,11.3
5137,"1,869","3,323","2,790","1,173",20.4,36.3,30.5,12.8
5139,"4,129","9,543","7,769","5,638",15.2,35.2,28.7,20.8
5141,"1,741","5,387","3,412","1,730",14.2,43.9,27.8,14.1
5143,"20,771","36,295","35,712","45,385",15,26.3,25.8,32.8
5145,"7,454","19,564","13,034","10,878",14.6,38.4,25.6,21.4
5147,943,"2,008","1,202",569,20,42.5,25.5,12
5149,"2,892","5,923","3,721","1,963",19.9,40.9,25.7,13.5
6000,"4,475,565","5,391,120","7,633,463","8,718,737",17.1,20.6,29.1,33.3
6001,"139,234","203,838","281,631","531,701",12,17.6,24.4,46
6003,87,225,237,235,11.1,28.7,30.2,30
6005,"2,864","8,461","12,198","5,997",9.7,28.7,41.3,20.3
6007,"15,823","33,611","59,196","39,260",10.7,22.7,40,26.5
6009,"3,332","9,557","15,239","6,474",9.6,27.6,44,18.7
6011,"4,174","3,225","4,132","2,103",30.6,23.7,30.3,15.4
6013,"82,574","136,610","233,998","324,337",10.6,17.6,30.1,41.7
6015,"3,684","6,131","6,840","2,782",19,31.5,35.2,14.3
6017,"9,299","28,621","51,399","45,397",6.9,21.2,38.2,33.7
6019,"147,389","136,851","188,858","123,407",24.7,22.9,31.7,20.7
6021,"4,426","5,058","5,956","2,484",24.7,28.2,33.2,13.9
6023,"8,878","21,615","34,073","27,380",9.7,23.5,37.1,29.8
6025,"33,928","26,758","32,850","15,802",31,24.5,30,14.5
6027,"1,478","3,883","4,431","3,452",11.2,29.3,33.5,26.1
6029,"139,584","147,239","159,525","85,752",26.2,27.7,30,16.1
6031,"24,270","23,540","32,073","12,438",26.3,25.5,34.7,13.5
6033,"6,872","13,951","18,247","7,324",14.8,30.1,39.3,15.8
6035,"3,853","7,444","8,396","2,697",17.2,33.2,37.5,12
6037,"1,460,718","1,416,482","1,790,808","2,177,481",21.3,20.7,26.2,31.8
6039,"27,278","24,249","31,404","14,084",28.1,25,32.4,14.5
6041,"12,883","20,858","44,782","112,018",6.8,10.9,23.5,58.8
6043,"1,316","3,622","5,524","3,197",9.6,26.5,40.4,23.4
6045,"8,101","15,925","22,532","15,241",13.1,25.8,36.5,24.7
6047,"48,433","40,839","46,711","22,051",30.6,25.8,29.6,14
6049,974,"2,185","2,536","1,078",14.4,32.3,37.4,15.9
6051,"1,131","2,290","3,545","3,076",11.3,22.8,35.3,30.6
6053,"78,816","56,133","72,422","67,157",28.7,20.4,26.4,24.5
6055,"14,670","17,644","31,629","34,277",14.9,18,32.2,34.9
6057,"4,386","13,945","29,692","27,754",5.8,18.4,39.2,36.6
6059,"320,340","368,858","604,676","857,638",14.9,17.1,28.1,39.9
6061,"14,403","48,289","100,446","102,345",5.4,18.2,37.8,38.6
6063,874,"3,638","6,528","3,390",6.1,25.2,45.2,23.5
6065,"280,295","411,949","504,267","333,718",18.3,26.9,33,21.8
6067,"127,852","225,825","350,480","308,126",12.6,22.3,34.6,30.4
6069,"7,658","9,440","13,492","7,486",20.1,24.8,35.4,19.7
6071,"272,865","352,296","436,563","270,028",20.5,26.5,32.8,20.3
6073,"286,008","409,272","680,074","848,022",12.9,18.4,30.6,38.1
6075,"79,408","84,630","131,509","394,004",11.5,12.3,19.1,57.1
6077,"96,905","129,211","147,635","84,486",21.1,28.2,32.2,18.4
6079,"17,123","37,163","68,352","64,923",9.1,19.8,36.4,34.6
6081,"59,339","82,174","132,756","273,630",10.8,15,24.2,49.9
6083,"52,042","49,059","80,080","92,634",19,17.9,29.2,33.8
6085,"157,687","191,695","294,921","679,498",11.9,14.5,22.3,51.3
6087,"24,323","28,222","54,710","71,610",13.6,15.8,30.6,40
6089,"11,606","31,314","55,236","27,995",9.2,24.8,43.8,22.2
6091,156,620,"1,118",436,6.7,26.6,48,18.7
6093,"3,181","8,118","13,330","7,163",10,25.5,41.9,22.5
6095,"36,031","69,822","115,304","78,496",12,23.3,38.5,26.2
6097,"42,831","67,183","123,081","124,873",12,18.8,34.4,34.9
6099,"73,664","97,071","111,660","57,523",21.7,28.6,32.8,16.9
6101,"13,697","14,879","22,621","11,024",22,23.9,36.4,17.7
6103,"6,766","13,319","16,540","6,709",15.6,30.7,38.2,15.5
6105,932,"3,325","3,744","1,965",9.4,33.4,37.6,19.7
6107,"81,345","69,974","79,261","38,493",30.2,26,29.5,14.3
6109,"3,936","11,680","17,269","8,238",9.6,28.4,42,20
6111,"88,185","107,135","183,807","187,558",15.6,18.9,32.4,33.1
6113,"17,180","23,271","33,180","52,424",13.6,18.5,26.3,41.6
6115,"8,478","10,898","19,959","7,866",18,23.1,42.3,16.7
8000,"322,718","803,431","1,117,551","1,504,892",8.6,21.4,29.8,40.1
8001,"54,079","90,409","98,693","74,958",17,28.4,31,23.6
8003,"1,287","2,598","3,157","2,484",13.5,27.3,33.1,26.1
8005,"32,895","89,231","126,707","181,360",7.6,20.7,29.5,42.2
8007,781,"2,102","3,101","3,813",8,21.5,31.7,38.9
8009,398,714,923,577,15.2,27.3,35.3,22.1
8011,646,"2,208","1,120",565,14.2,48.6,24.7,12.4
8013,"10,380","25,800","46,104","127,566",4.9,12.3,22,60.8
8014,"1,460","6,667","12,122","25,209",3.2,14.7,26.7,55.5
8015,"1,070","4,038","4,930","5,068",7.1,26.7,32.6,33.5
8017,125,460,427,253,9.9,36.4,33.8,20
8019,123,"1,536","2,270","3,416",1.7,20.9,30.9,46.5
8021,711,"1,717","1,804","1,069",13.4,32.4,34,20.2
8023,579,640,956,514,21.5,23.8,35.6,19.1
8025,590,"1,615","1,297",372,15.2,41.7,33.5,9.6
8027,253,754,"1,261","1,324",7,21,35.1,36.9
8029,"2,130","8,446","6,857","4,700",9.6,38.2,31,21.2
8031,"64,043","84,265","110,388","237,877",12.9,17,22.2,47.9
8033,115,539,454,300,8.2,38.3,32.2,21.3
8035,"4,347","26,287","59,981","124,635",2,12.2,27.9,57.9
8037,"4,075","5,979","9,672","18,316",10.7,15.7,25.4,48.1
8039,595,"4,374","6,449","6,388",3.3,24.6,36.2,35.9
8041,"27,792","89,218","157,396","167,680",6.3,20.2,35.6,37.9
8043,"3,539","14,477","11,733","6,625",9.7,39.8,32.3,18.2
8045,"4,740","11,076","11,329","11,651",12.2,28.5,29.2,30
8047,114,"1,035","1,731","1,820",2.4,22,36.8,38.7
8049,512,"3,016","3,556","4,306",4.5,26.5,31.2,37.8
8051,296,"1,687","2,738","5,832",2.8,16,25.9,55.3
8053,45,186,176,318,6.2,25.7,24.3,43.9
8055,442,"1,486","2,136","1,106",8.5,28.7,41.3,21.4
8057,120,287,398,163,12.4,29.6,41.1,16.8
8059,"22,840","84,351","121,561","180,236",5.6,20.6,29.7,44.1
8061,39,361,347,204,4.1,38,36.5,21.5
8063,622,"2,033","1,714","1,017",11.5,37.7,31.8,18.9
8065,792,"1,482","1,333","1,858",14.5,27.1,24.4,34
8067,"1,966","7,980","12,102","17,223",5,20.3,30.8,43.9
8069,"9,389","42,507","66,792","102,473",4.2,19.2,30.2,46.3
8071,"1,270","2,998","4,101","2,053",12.2,28.8,39.3,19.7
8073,393,"2,164",995,520,9.7,53.1,24.4,12.8
8075,"1,540","4,816","5,352","3,028",10.5,32.7,36.3,20.5
8077,"10,188","28,023","36,303","28,155",9.9,27.3,35.4,27.4
8079,23,138,269,286,3.2,19.3,37.6,39.9
8081,803,"3,570","2,960","1,514",9.1,40.4,33.5,17.1
8083,"1,921","5,361","5,739","5,207",10.5,29.4,31.5,28.6
8085,"3,304","9,337","9,719","7,017",11.2,31.8,33.1,23.9
8087,"3,657","5,709","5,758","3,231",19.9,31.1,31.4,17.6
8089,"1,797","3,588","4,714","2,172",14.6,29.2,38.4,17.7
8091,62,699,"1,213","1,866",1.6,18.2,31.6,48.6
8093,401,"4,056","4,995","4,094",3,29.9,36.9,30.2
8095,336,786,"1,001",726,11.8,27.6,35.1,25.5
8097,501,"2,025","2,516","8,606",3.7,14.8,18.4,63.1
8099,"1,399","2,027","3,040","1,365",17.9,25.9,38.8,17.4
8101,"11,814","32,066","43,446","24,568",10.6,28.7,38.8,22
8103,301,"1,406","1,616",843,7.2,33.7,38.8,20.2
8105,"1,203","2,312","2,332","1,818",15.7,30.2,30.4,23.7
8107,595,"3,613","4,871","9,232",3.2,19.7,26.6,50.4
8109,919,"1,399","1,306","1,074",19.6,29.8,27.8,22.9
8111,33,124,147,160,7.1,26.7,31.7,34.5
8113,296,908,"1,385","3,387",5,15.2,23.2,56.7
8115,167,508,666,353,9.9,30,39.3,20.8
8117,"1,539","4,339","5,321","11,672",6.7,19,23.3,51
8119,769,"4,643","6,600","6,200",4.2,25.5,36.2,34
8121,254,"1,076","1,492",545,7.5,32,44.3,16.2
8123,"22,517","51,960","63,828","50,460",11.9,27.5,33.8,26.7
8125,786,"2,219","2,151","1,464",11.9,33.5,32.5,22.1
9000,"235,826","670,519","607,136","965,227",9.5,27.1,24.5,38.9
9001,"64,890","139,001","133,981","303,918",10.1,21.7,20.9,47.4
9003,"65,170","167,539","154,744","234,993",10.5,26.9,24.9,37.8
9005,"9,986","39,969","37,527","47,270",7.4,29.7,27.8,35.1
9007,"6,918","30,998","31,549","49,327",5.8,26.1,26.6,41.5
9009,"59,205","183,897","144,784","207,966",9.9,30.9,24.3,34.9
9011,"15,250","56,020","54,206","62,745",8.1,29.8,28.8,33.3
9013,"5,215","26,390","24,811","39,454",5.4,27.5,25.9,41.2
9015,"9,192","26,705","25,534","19,554",11.4,33,31.5,24.1
10000,"67,482","208,557","176,708","207,232",10.2,31.6,26.8,31.4
10001,"14,930","38,490","35,280","27,357",12.9,33.2,30.4,23.6
10003,"32,485","116,387","94,982","136,613",8.5,30.6,25,35.9
10005,"20,067","53,680","46,446","43,262",12.3,32.8,28.4,26.5
11000,"45,805","83,572","77,255","280,349",9.4,17.2,15.9,57.6
11001,"45,805","83,572","77,255","280,349",9.4,17.2,15.9,57.6
12000,"1,769,489","4,231,678","4,402,103","4,283,457",12,28.8,30,29.2
12001,"12,112","34,631","44,794","67,724",7.6,21.7,28.1,42.5
12003,"2,886","7,986","5,295","2,492",15.5,42.8,28.4,13.4
12005,"12,371","40,148","46,118","29,167",9.7,31.4,36.1,22.8
12007,"4,229","7,745","5,458","2,056",21.7,39.7,28,10.6
12009,"34,234","122,135","145,319","125,088",8,28.6,34.1,29.3
12011,"150,125","368,264","396,859","429,460",11.2,27.4,29.5,31.9
12013,"2,259","4,312","2,704","1,019",21.9,41.9,26.3,9.9
12015,"14,096","49,114","48,348","33,662",9.7,33.8,33.3,23.2
12017,"13,556","43,548","36,497","20,044",11.9,38.3,32.1,17.6
12019,"12,535","44,514","50,035","33,943",8.9,31.6,35.5,24.1
12021,"37,344","69,842","68,204","99,320",13.6,25.4,24.8,36.2
12023,"6,365","17,263","16,742","7,444",13.3,36.1,35,15.6
12027,"7,083","11,171","4,698","2,966",27.3,43.1,18.1,11.4
12029,"2,557","5,533","3,122","1,158",20.7,44.7,25.2,9.4
12031,"65,724","175,335","204,368","183,280",10.5,27.9,32.5,29.2
12033,"19,107","56,941","77,373","55,164",9.2,27.3,37.1,26.4
12035,"6,500","27,619","27,435","19,894",8,33.9,33.7,24.4
12037,"1,768","3,200","2,461","1,537",19.7,35.7,27.4,17.1
12039,"6,638","11,756","8,372","5,362",20.7,36.6,26.1,16.7
12041,"1,673","5,017","3,515","1,685",14.1,42.2,29.6,14.2
12043,"2,454","4,080","2,525",997,24.4,40.6,25.1,9.9
12045,"1,838","4,547","3,635","2,157",15.1,37.3,29.9,17.7
12047,"2,418","4,460","2,312",943,23.9,44,22.8,9.3
12049,"4,198","8,304","3,019","1,802",24.2,47.9,17.4,10.4
12051,"8,664","8,806","5,736","2,079",34.3,34.8,22.7,8.2
12053,"17,202","49,681","45,761","23,896",12.6,36.4,33.5,17.5
12055,"11,910","29,677","23,220","13,240",15.3,38,29.8,17
12057,"108,569","254,006","267,602","305,581",11.6,27.1,28.6,32.7
12059,"3,173","5,489","3,955","1,444",22.6,39,28.1,10.3
12061,"13,034","34,393","35,433","32,781",11.3,29.7,30.6,28.3
12063,"6,825","13,242","10,551","4,752",19.3,37.4,29.8,13.4
12065,"1,956","3,632","2,918","2,404",17.9,33.3,26.7,22
12067,"1,467","2,507","1,203",969,23.9,40.8,19.6,15.8
12069,"26,405","81,305","83,228","56,151",10.7,32.9,33.7,22.7
12071,"64,525","165,834","157,968","149,514",12,30.8,29.4,27.8
12073,"10,819","32,510","48,977","77,725",6.4,19.1,28.8,45.7
12075,"4,590","11,990","8,908","3,683",15.7,41.1,30.5,12.6
12077,"1,119","2,877","1,250",761,18.6,47.9,20.8,12.7
12079,"2,597","5,128","3,871","1,854",19.3,38.1,28.8,13.8
12081,"29,910","84,529","81,838","81,512",10.8,30.4,29.5,29.3
12083,"32,787","97,059","79,054","50,132",12.7,37.5,30.5,19.4
12085,"11,465","30,512","39,252","40,081",9.5,25.2,32.4,33
12086,"355,875","533,542","479,454","553,997",18.5,27.7,24.9,28.8
12087,"5,180","16,274","18,296","19,850",8.7,27.3,30.7,33.3
12089,"5,083","19,277","17,927","16,633",8.6,32.7,30.4,28.2
12091,"11,232","33,908","50,253","42,110",8.2,24.7,36.5,30.6
12093,"7,063","10,874","7,130","3,217",25,38.4,25.2,11.4
12095,"101,305","216,036","265,083","297,568",11.5,24.5,30.1,33.8
12097,"29,463","71,032","76,320","45,730",13.2,31.9,34.3,20.5
12099,"124,483","258,521","295,287","376,461",11.8,24.5,28,35.7
12101,"40,540","122,411","120,459","86,702",11,33.1,32.5,23.4
12103,"65,119","207,182","233,441","226,810",8.9,28.3,31.9,31
12105,"70,084","163,614","135,806","92,267",15.2,35.4,29.4,20
12107,"9,887","21,110","14,426","6,417",19.1,40.7,27.8,12.4
12109,"9,024","35,717","49,075","72,856",5.4,21.4,29.4,43.7
12111,"30,609","74,301","70,816","44,830",13.9,33.7,32.1,20.3
12113,"10,001","32,223","42,977","33,286",8.4,27.2,36.3,28.1
12115,"23,543","95,464","95,325","113,751",7.2,29.1,29.1,34.7
12117,"18,207","69,293","109,473","122,008",5.7,21.7,34.3,38.2
12119,"9,130","32,762","32,750","33,688",8.4,30.2,30.2,31.1
12121,"5,739","12,165","8,511","4,554",18.5,39.3,27.5,14.7
12123,"3,628","6,969","4,307","1,184",22.6,43.3,26.8,7.4
12125,"2,589","4,252","3,437",933,23.1,37.9,30.7,8.3
12127,"38,984","125,238","133,282","91,702",10,32.2,34.2,23.6
12129,"2,773","8,253","7,732","4,225",12.1,35.9,33.6,18.4
12131,"5,553","13,295","15,675","13,686",11.5,27.6,32.5,28.4
12133,"3,308","7,323","4,928","2,069",18.8,41.5,28,11.7
13000,"903,914","1,890,132","1,912,385","2,080,116",13.3,27.9,28.2,30.7
13001,"3,148","4,722","3,260","1,193",25.5,38.3,26.5,9.7
