state,county,category,change,changecalc,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
Oregon,Lane County,Transit stations,-48,-50.080133333333336,2.289,13.587,,3.235,8.851,12.036,-5.558,-0.572,1.941,-1.949,-0.431,1.589,1.751,-10.911,-11.733,-11.646,-21.44,-26.743,-29.276,-35.233,-42.614,-38.347,-43.672,-55.44,-57.583,-54.239,-57.992,-58.465,-58.951,-67.288,-62.587,-58.014,-54.92,-57.117,-56.612,-58.093,-65.023,-55.223,-54.995,-51.743,-49.676,-50.025,-50.08
Oregon,Lane County,Workplace,-37,-38.662148333333334,3.889,4.234,1.96,2.251,1.741,1.989,-0.528,4.499,1.101,0.513,1.228,0.435,-3.217,-7.989,-3.05,-9.57,-20.025,-26.458,-30.562,-33.63,-35.655,-26.461,-32.012,-41.799,-47.479,-48.296,-48.72,-48.182,-39.272,-41.921,-47.71,-48.824,-49.602,-49.393,-48.773,-40.187,-44.292,-48.736,-49.847,-49.544,-49.51,-49.705,-38.662
Oregon,Lane County,Residential,11,11.024391666666666,-0.904,-1.452,-0.661,-1.098,-1.138,-0.996,0.629,-0.245,0.209,-0.503,-0.764,-0.454,1.454,4.014,4.383,3.742,5.551,8.409,10.167,11.68,11.978,7.941,7.448,14.483,17.723,17.585,18.139,19.586,13.705,12.345,17.067,17.114,17.853,18.429,18.639,13.737,11.49,16.189,16.481,16.546,16.984,17.875,11.024
Oregon,Lincoln County,Retail & recreation,-58,-60.240961666666664,22.59,38.224,14.956,16.727,21.243,17.585,18.382,21.586,37.218,23.483,19.896,22.65,22.714,11.25,-1.004,23.471,17.58,-6.083,-10.11,-9.769,-10.748,-20.499,-29.395,-33.848,-48.535,-42.23,-48.237,-56.553,-71.62,-64.937,-49.853,-43.973,-42.742,-45.062,-50.727,-68.273,-58.789,-43.425,-41.692,-38.391,-39.688,-48.718,-60.241
Oregon,Lincoln County,Grocery & pharmacy,-24,-25.081901666666678,5.375,12.98,0.595,9.164,12.255,5.838,3.946,3.327,8.437,2.381,6.109,14.835,15.978,19.729,9.214,20.119,20.536,10.997,21.285,10.755,12.889,11.773,4.543,-7.738,-20.467,-14.512,-21.817,-28.935,-40.438,-30.504,-27.976,-18.023,-10.32,-15.978,-22.096,-35.319,-25.961,-19.94,-17.107,-11.287,-14.749,-21.57,-25.082
Oregon,Lincoln County,Parks,-43,-44.27991166666668,21.414,44.36,13.84,17.473,84.288,14.388,25.126,34.117,65.352,98.339,69.22,83.492,33.379,-0.523,5.444,60.995,99.796,73.253,118.48,89.779,100.503,96.182,45.548,-8.741,-34.946,11.132,-26.473,-56.009,-70.049,-55.054,-42.978,-19.489,-9.542,-26.473,-38.735,-62.064,-35.646,-20.396,-18.817,12.723,-19.567,-37.165,-44.28
Oregon,Lincoln County,Workplace,-45,-46.811740000000015,5.482,8.086,2.617,4.288,1.009,0.494,2.298,-0.422,5.232,-6.543,3.027,2.018,,1.021,-2.109,-2.854,-11.254,-19.925,-28.249,-31.596,-31.658,-31.208,-32.82,-40.567,-47.669,-47.417,-49.121,-50.041,-50.607,-53.748,-47.634,-48.426,-49.435,-49.615,-48.509,-51.029,-51.846,-46.325,-48.426,-49.435,-50.109,-48.254,-46.812
Oregon,Linn County,Retail & recreation,-32,-33.297425,10.6,22.398,13.165,17.913,16.952,12.569,5.396,8.762,10.749,8.604,12.073,15.639,8.118,-3.539,-16.841,-8.329,-2.483,-17.239,-15.468,-22.153,-25.257,-33.126,-29.77,-33.837,-44.418,-36.929,-40.954,-43.922,-49.241,-45.977,-40.881,-33.861,-27.568,-34.408,-34.457,-44.283,-35.623,-32.567,-28.583,-26.484,-30.69,-31.361,-33.297
Oregon,Linn County,Grocery & pharmacy,4,3.80254166666667,7.951,9.921,8.405,17.536,12.739,9.113,2.212,4.609,5.596,8.532,10.6,12.739,22.529,18.356,10.486,1.145,16.682,14.133,12.473,7.721,7.962,-0.115,-9.03,-8.277,-19.76,-10.616,-15.188,-20.236,-20.28,-26.455,-20.757,-9.684,-1.858,-7.594,-8.625,-12.79,-15.644,-11.588,-3.272,-3.715,-2.658,-3.539,3.803
Oregon,Linn County,Parks,38,39.24086833333333,-13.556,19.947,16.622,44.956,51.02,33.832,-24.379,-2.14,12.559,64.273,71.272,68.027,32.051,-23.641,-15.696,45.804,65.381,80.044,82.908,74.786,53.93,78.482,78.31,-4.433,-10.965,15.944,6.232,-33.983,-19.977,-9.604,-8.865,12.061,1.063,-0.89,-8.126,-20.691,23.641,34.353,65.789,66.964,57.87,39.155,39.241
Oregon,Linn County,Transit stations,-27,-27.721773333333342,12.601,11.574,7.336,7.234,4.223,15.077,4.586,6.72,6.752,5.869,9.404,6.334,5.482,-3.931,-14.281,-1.929,2.934,0.723,2.111,-4.797,-6.551,-14.281,-5.787,-19.073,-12.297,-11.261,-19.874,-24.895,-25.202,-29.9,-21.273,-17.361,-11.261,-20.559,-22.275,-35.282,-21.219,-13.204,-11.574,-6.334,-14.391,-26.205,-27.722
Oregon,Linn County,Workplace,-28,-28.842965000000003,,0.226,1.898,2.305,1.745,0.536,0.907,2.075,-1.582,1.582,0.768,-0.228,-1.532,-13.763,-4.773,-11.976,-20.248,-24.736,-27.692,-30.101,-31.398,-18.675,-26.437,-36.858,-40.945,-42.031,-42.892,-42.359,-27.598,-33.668,-41.524,-41.713,-42.562,-43.122,-42.689,-29.465,-34.346,-43.106,-43.71,-43.852,-44.501,-45.408,-28.843
Oregon,Linn County,Residential,10,10.304623333333337,-1.257,-1.381,-0.296,-0.733,-0.882,-0.807,0.152,-0.251,-0.238,-0.164,-0.482,-0.604,1.04,5.267,5.019,3.517,5.806,8.388,9.174,10.763,11.055,7.228,6.733,13.277,16.68,15.913,16.826,18.044,13.095,11.157,15.511,15.973,15.384,16.88,16.746,12.39,9.945,14.819,15.019,14.473,15.701,16.194,10.305
Oregon,Malheur County,Retail & recreation,-21,-21.855831666666663,17.638,25.02,11.837,22.505,20.736,17.804,6.04,18.788,18.553,9.47,12.699,15.876,12.338,12.204,8.436,11.744,3.788,-6.109,-2.916,-11.088,-17.382,-20.322,-17.021,-15.941,-26.845,-29.322,-30.922,-35.01,-36.171,-33.871,-30.934,-25.559,-14.094,-23.27,-24.778,-33.742,-32.51,-28.883,-20.415,-22.842,-24.988,-25.641,-21.856
Oregon,Malheur County,Grocery & pharmacy,11,11.74242666666667,7.197,13.127,14.339,18.045,15.667,14.881,-0.36,10.606,16.514,16.447,8.612,12.703,19.558,43.973,39.015,30.064,40.064,28.707,33.028,24.235,21.626,16.667,11.433,18.134,-4.921,-1.694,-8.078,-12.615,-10.606,-16.091,-8.856,-9.022,4.234,4.677,2.163,0.758,-6.352,-2.952,-3.691,-0.423,2.551,-0.36,11.742
Oregon,Malheur County,Transit stations,1,0.5540783333333366,18.285,26.861,3.434,3.664,12.414,12.836,17.197,20.501,23.585,14.309,13.086,18.89,4.937,18.18,16.068,17.034,9.73,7.852,22.129,5.924,14.249,22.163,28.171,17.743,7.852,12.414,-1.975,-6.388,-4.433,1.965,,-1.57,7.016,-3.949,-0.983,-3.324,,2.862,-6.281,-1.079,-5.924,-6.879,0.554
Oregon,Malheur County,Workplace,-17,-17.655366666666673,2.648,-1.132,2.826,0.783,4.699,2.721,0.875,7.062,5.661,1.211,1.175,4.699,1.166,8.754,4.414,-3.397,-19.38,-21.93,-26.237,-27.596,-20.571,-7.062,-12.455,-31.896,-37.594,-34.07,-38.091,-35.014,-21.186,-23.777,-36.741,-37.594,-36.419,-39.646,-34.576,-22.069,-28.306,-36.741,-37.594,-36.811,-39.646,-35.014,-17.655
Oregon,Sherman County,Transit stations,-28,-29.605268333333328,,9.566,-7.675,7.267,2.367,16.447,17.062,10.965,7.44,-1.096,9.69,1.184,3.289,0.898,-14.254,1.063,5.482,15.746,14.205,2.193,-2.694,-1.096,-20.196,-2.193,-1.211,-2.367,-13.158,-22.45,-27.412,-38.265,-13.158,10.901,2.367,-7.675,-17.062,-17.544,-25.51,-16.447,-10.901,-17.756,-15.351,-26.042,-29.605
Oregon,Tillamook County,Workplace,-29,-30.179124999999992,5.841,4.209,6.737,4.464,5.081,,4.209,,4.209,-1.555,1.984,4.573,1.965,-1.578,4.868,1.052,-13.993,-19.841,-20.325,-24.076,-24.2,-23.364,-25.253,-31.095,-37.698,-36.585,-37.343,-40.509,-36.994,-38.931,-37.832,-39.187,-36.077,-38.817,-39.457,-30.179,-38.931,-36.795,-39.683,-36.077,-39.308,-39.983,-30.179
