state,county,category,change,changecalc,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
Alaska,Anchorage,Retail & recreation,-45,-46.69643333333333,15.952,20.786,5.971,11.35,9.747,8.755,11.151,19.107,13.08,8.119,12.935,10.614,10.836,4.409,-3.125,0.593,-0.546,-20.826,-25.738,-30.89,-29.42,-38.244,-32.364,-41.324,-42.625,-43.463,-43.841,-47.862,-51.875,-50.542,-42.562,-40.571,-39.37,-48.036,-46.335,-50.208,-45.603,-41.07,-43.598,-42.458,-44.435,-44.548,-46.696
Alaska,Anchorage,Grocery & pharmacy,-4,-4.260221666666672,10.275,15.377,7.466,11.771,8.906,8.382,3.621,12.112,6.188,5.533,8.408,10.216,24.623,20.417,21.301,16.502,28.106,10.886,6.287,5.763,8.013,5.43,-1.5,-10.188,-13.187,-14.407,-11.526,-16.026,-17.626,-25.878,-15.809,-14.691,-7.596,-13.272,-12.404,-11.862,-13.501,-12.911,-14.691,-13.796,-10.478,-8.937,-4.26
Alaska,Anchorage,Parks,29,30.289598333333334,8.865,17.515,9.47,-8.152,3.592,3.623,1.64,19.947,34.108,,8.152,10.776,10.87,6.562,23.641,64.528,31.25,-0.906,5.388,-0.906,24.606,-10.343,112.463,19.886,19.928,10.776,48.007,-1.64,22.902,53.466,25.568,26.268,-1.796,-22.645,11.483,21.424,59.919,6.629,1.812,30.532,26.268,31.168,30.29
Alaska,Anchorage,Transit stations,-54,-55.73831000000001,16.143,21.323,7.458,4.834,7.645,1.848,9.407,10.051,11.186,5.533,2.659,2.15,-3.003,-3.212,0.609,6.991,-7.217,-11.359,-11.707,-25.407,-25.927,-22.844,-29.362,-38.972,-41.812,-42.766,-45.732,-52.772,-51.17,-54.88,-50.76,-46.887,-44.199,-52.199,-47.953,-49.951,-53.132,-50.038,-47.854,-49.694,-52.199,-53.46,-55.738
Alaska,Anchorage,Workplace,-40,-41.92872333333334,2.883,5.908,-0.368,3.583,3.303,3.314,-5.289,0.655,1.71,-12.403,-9.163,-8.892,-9.28,-10.741,-2.358,-2.799,-13.349,-18.12,-23.78,-27.89,-30.171,-26.599,-26.586,-42.676,-47.348,-49.136,-49.916,-49.547,-39.701,-40.889,-54.08,-52.518,-52.337,-52.772,-51.598,-43.239,-41.356,-51.768,-52.518,-52.134,-52.568,-53.379,-41.929
Alaska,Anchorage,Residential,13,13.40026833333333,-1.766,-1.447,0.073,-0.265,-0.692,-1.237,2.335,-0.713,-0.83,3.101,2.539,2.602,2.774,4.069,1.866,1.318,5.333,9.853,12.184,13.496,14.917,10.386,7.127,18.309,20.788,21.551,21.291,23.832,13.955,11.33,21.473,22.502,22.707,24.145,24.475,14.658,10.895,21.36,22.905,22.467,22.482,24.281,13.4
South Carolina,Abbeville County,Workplace,-25,6.775068333333335,11.161,10.163,9.742,7.684,2.201,10.883,15.358,7.44,21.172,8.618,25.615,12.837,26.43,22.035,22.321,22.866,28.477,32.018,3.668,20.211,20.032,27.53,1.694,-2.998,-8.538,,16.325,,22.321,7.622,-0.749,-1.708,13.571,17.102,17.361,23.81,6.775,,,,,,
South Carolina,Aiken County,Retail & recreation,-32,-25.664253333333328,-3.019,-7.548,,-0.569,-0.551,-2.216,-1.849,6.039,-4.529,3.511,2.846,2.756,-0.554,1.849,,-3.019,-4.682,-10.815,-13.779,-18.839,-21.573,-13.587,-25.664,-18.727,-22.769,-24.25,-26.042,-28.969,-15.097,-31.703,-28.09,-33.584,-32.518,-33.799,-35.75,-19.626,-40.761,-32.772,-38.138,-41.336,-44.326,-51.159,-25.664
South Carolina,Aiken County,Grocery & pharmacy,-1,-33.55911333333334,15.599,18.46,10.795,15.287,5.498,1.639,10.693,10.297,11.867,11.013,11.498,10.954,10.069,9.985,4.858,4.183,1.175,-6.115,-16.535,-18.109,-19.97,-28.941,-34.055,-30.906,-32.21,-28.489,-27.281,-28.403,-30.138,-32.646,-25.117,-26.655,-24.199,-23.885,-27.087,-36.364,-36.647,-31.08,-32.512,-37.777,-33.291,-32.046,-33.559
South Carolina,Aiken County,Parks,-19,-1.2810650000000006,7.046,12.787,6.655,12.175,2.825,-2.336,10.944,6.966,8.027,10.559,9.56,11.653,17.823,31.633,19.536,26.882,29.369,21.916,14.036,18.947,15.737,4.964,-6.067,-1.153,-6.674,-4.767,-5.364,-2.237,-6.565,-11.387,-4.88,-4.239,0.883,5.624,4.873,-5.364,-11.294,-7.986,-3.878,-11.829,-5.71,-1.358,-1.281
South Carolina,Aiken County,Transit stations,-27,-19.841269999999998,5.787,21.024,-19.113,-7.716,-18.157,-20.833,34.341,41.336,43.005,25.803,17.361,25.803,26.515,19.46,34.722,13.379,-20.069,-10.61,-5.734,2.841,17.17,6.614,-16.246,-42.049,-35.687,-1.911,-2.841,13.736,-10.747,-0.956,-16.246,-38.58,-20.069,-19.886,1.145,-29.762,-11.468,-25.803,-21.219,-23.891,-10.417,-2.289,-19.841
South Carolina,Aiken County,Workplace,-33,-34.135703333333325,3.519,4.754,1.704,0.728,-1.846,-1.733,1.604,4.927,2.067,1.556,2.038,0.852,0.505,0.321,1.056,-1.24,-11.409,-12.52,-19.243,-19.852,-24.538,-16.54,-27.282,-30.302,-32.83,-35.645,-34.433,-35.123,-26.218,-34.102,-38.525,-40.691,-42.391,-41.797,-41.378,-32.552,-38.442,-45.564,-47.752,-49.137,-50.17,-52.284,-34.136
South Carolina,Aiken County,Residential,11,11.336924999999999,-2.563,-1.696,-0.61,0.066,0.836,2.271,-3.134,-2.679,-1.892,-1.575,-1.099,-1.525,-1.522,-3.11,-1.447,0.248,3.781,5.944,8.236,8.345,8.404,6.233,8.68,12.263,14.826,13.451,13.983,12.686,9.091,8.681,13.18,15.841,14.591,16.117,14.595,11.117,10.225,15.496,17.608,18.163,18.731,18.126,11.337
South Carolina,Beaufort County,Retail & recreation,-43,-44.68980166666666,21.918,21.222,15.729,14.357,3.865,3.2,14.996,13.538,19.453,17.341,16.133,18.984,19.924,15.575,15.247,13.501,6.41,-2.663,-16.483,-21.997,-26.066,-33.32,-40.2,-33.543,-34.079,-35.24,-35.304,-36.75,-39.498,-39.079,-33.307,-37.089,-35.808,-38.94,-39.903,-46.464,-45.462,-39.598,-41.836,-46.949,-45.048,-43.507,-44.69
South Carolina,Beaufort County,Grocery & pharmacy,-10,-10.91702833333334,12.054,8.814,10.005,7.668,-3.771,-5.422,10.492,7.847,10.016,7.062,8.494,15.083,28.032,31.477,30.022,34.722,33.781,22.532,15.554,6.46,11.466,3.639,-8.681,-9.652,-8.494,-7.659,-10.267,-7.355,-10.462,-16.159,-13.418,-12.151,-10.016,-10.267,-7.464,-14.556,-21.501,-13.771,-12.151,-21.682,-18.918,-11.682,-10.917
South Carolina,Beaufort County,Parks,-40,-41.45408666666666,57.929,47.847,46.296,15.369,-26.94,-32.957,41.118,63.244,38.876,60.916,46.676,76.03,82.392,86.623,125.425,59.809,29.849,35.861,49.09,81.803,74.013,46.237,-34.888,-18.884,-5.123,-2.395,-10.005,8.224,21.79,1.495,-12.792,-43.83,-33.525,-32.957,-32.895,-41.454,-47.348,-32.895,-40.984,-41.307,-38.253,-44.408,-41.454
South Carolina,Beaufort County,Workplace,-38,-39.897168333333326,2.671,4.416,2.156,1.448,-0.797,-2.022,3.827,4.006,1.806,-0.083,-0.483,0.08,0.97,0.416,,-4.215,-11.528,-17.375,-24.388,-26.365,-28.454,-26.042,-38.536,-33.423,-36.921,-37.06,-38.011,-36.525,-31.884,-41.145,-38.897,-42.793,-43.516,-43.672,-43.015,-39.563,-46.765,-43.707,-46.412,-47.341,-46.584,-50.419,-39.897
South Carolina,Beaufort County,Residential,12,12.08890833333334,-3.278,-1.558,-0.979,-0.273,3.464,4.682,-0.172,-2.154,-0.377,-0.628,-0.3,-0.267,-0.869,0.005,-0.961,1.43,5.019,7.263,9.632,10.295,12.781,8.246,10.34,12.822,13.803,14.787,14.47,16.152,9.957,10.234,13.248,16.358,16.136,16.294,18.166,11.706,11.711,15.249,17.202,18.033,17.567,20.652,12.089
South Carolina,Berkeley County,Retail & recreation,-35,-36.88742333333333,11.711,13.388,8.502,10.923,3.554,-4.37,6.172,5.334,7.825,6.594,6.261,8.607,10.494,10.51,3.485,5.349,2.678,-3.996,-13.563,-18.618,-22.853,-27.737,-35.547,-29.322,-30.404,-24.615,-29.081,-28.843,-33.806,-33.652,-26.142,-28.706,-25.887,-28.342,-29.747,-36.437,-38.421,-29.724,-30.071,-37.591,-34.158,-33.44,-36.887
South Carolina,Berkeley County,Grocery & pharmacy,1,1.186408333333328,2.788,9.563,7.584,8.989,-0.384,-6.067,6.581,4.39,7.104,7.45,8.196,6.402,17.942,27.702,21.237,29.235,29.934,19.829,12.869,12.585,10.471,5.873,-6.216,-6.443,-6.015,-3.713,-8.971,-9.334,-7.534,-10.724,-10.873,-7.535,-4.162,-3.356,0.479,-3.322,-6.831,-3.893,-3.9,-9.988,-6.906,-1.675,1.186
South Carolina,Berkeley County,Parks,7,6.814638333333333,21.417,15.746,18.939,12.455,-24.272,-32.482,5.315,17.523,33.915,23.674,24.909,21.238,45.923,32.951,36.994,26.647,13.021,7.926,9.102,26.882,23.384,34.073,1.211,-3.551,-10.19,-9.102,16.801,12.755,17.523,48.45,4.735,-12.455,-18.204,2.24,2.126,-1.947,13.324,4.735,6.793,-11.125,4.48,-3.189,6.815
South Carolina,Berkeley County,Transit stations,-40,-42.126223333333336,10.723,6.453,3.1,-3.255,-6.238,-9.47,1.746,-0.766,11.062,-4.96,-2.604,-8.733,-35.354,-36.08,-39.828,-37.795,-44.023,-41.016,-45.534,-44.192,-39.572,-49.02,-52.544,-50.843,-44.271,-51.771,-51.136,-52.374,-50.551,-55.31,-31.622,-18.229,-22.455,-12.626,-24.441,-34.467,-32.264,-24.802,-24.74,-31.811,-21.465,-31.425,-42.126
South Carolina,Berkeley County,Workplace,-34,-35.27462,4.143,4.04,3.753,2.733,-0.349,-2.393,2.387,2.486,1.876,0.87,2.016,0.262,0.753,-6.598,2.131,0.144,-9.52,-14.427,-22.056,-25.034,-27.048,-16.572,-27.124,-32.632,-35.573,-37.692,-38.946,-38.981,-26.989,-33.616,-40.275,-41.711,-43.545,-43.82,-43.192,-32.552,-37.512,-42.243,-44.265,-46.864,-47.985,-53.534,-35.275
South Carolina,Berkeley County,Residential,12,12.089526666666663,-2.775,-1.818,-1.633,0.162,1.925,4.711,-1.236,-1.554,-0.911,-0.829,-0.09,-0.59,-0.8,0.167,-0.961,0.711,4.593,7.757,10.289,11.865,12.795,7.844,9.658,14.098,17.049,16.225,17.57,17.613,10.169,9.797,15.261,18.028,17.502,18.617,18.414,11.608,10.736,16.323,19.009,19.668,20.32,22.038,12.09
South Carolina,Calhoun County,Transit stations,-63,-65.97222666666667,15.046,24.351,17.96,6.853,-6.51,21.335,31.798,23.148,27.056,-2.395,8.224,6.51,27.61,15.351,12.731,33.82,4.789,12.336,2.604,-2.51,-5.482,-19.676,-18.939,-28.736,-21.93,-27.344,-28.865,-33.991,-47.454,-48.701,-34.722,-21.93,-32.552,-40.161,-38.377,-56.713,-52.76,-44.301,-31.524,-36.458,-38.906,-47.149,-65.972
South Carolina,Charleston County,Retail & recreation,-52,-54.45917833333333,11.324,16.143,8.267,8.534,1.019,-4.084,8.937,7.514,11.168,7.156,8.818,8.061,9.508,7.026,-0.148,0.53,-2.18,-10.249,-23.097,-27.069,-33.419,-45.273,-48.528,-39.854,-40.281,-38.742,-43.022,-45.749,-52.501,-49.761,-41.774,-41.483,-41.323,-44.745,-44.695,-54.586,-52.843,-43.583,-45.359,-49.555,-47.731,-49.152,-54.459
South Carolina,Charleston County,Grocery & pharmacy,-20,-20.95193166666667,3.558,7.474,3.578,3.353,-4.364,-11.901,5.122,5.021,5.594,2.749,4.235,6.808,12.84,20.92,15.022,17.063,19.114,12.574,3.928,0.896,0.473,-13.243,-19.884,-16.67,-15.795,-14.314,-21.755,-21.196,-24.707,-25.948,-23.521,-22.413,-17.674,-20.39,-18.083,-25.577,-26.7,-20.205,-18.398,-23.609,-23.034,-20.487,-20.952
South Carolina,Charleston County,Parks,-58,-60.25465666666667,19.611,24.888,6.769,6.801,-23.241,-34.611,27.362,35.101,47.304,40.99,31.501,33.608,28.591,40.323,42.917,19.449,-1.88,-8.054,-2.842,14.045,1.44,-11.937,-45.161,-36.853,-44.208,-35.781,-43.807,-36.642,-36.238,-36.425,-36.101,-52.262,-52.0,-46.315,-44.003,-55.849,-47.963,-39.298,-46.893,-52.0,-50.662,-53.763,-60.255
South Carolina,Charleston County,Transit stations,-60,-62.543131666666675,1.725,11.497,21.825,7.757,2.662,-3.059,8.189,22.861,-2.529,3.307,5.725,5.146,15.464,-0.164,-10.568,-14.947,-12.731,-15.884,-27.861,-31.947,-40.127,-43.133,-59.327,-51.753,-50.052,-51.107,-53.528,-54.704,-59.739,-65.075,-57.209,-52.453,-53.769,-56.586,-55.031,-58.877,-66.225,-58.697,-56.885,-57.141,-57.776,-60.109,-62.543
South Carolina,Charleston County,Workplace,-41,-42.47718833333333,3.527,4.131,2.499,1.071,-0.557,-3.527,1.536,3.452,3.143,0.812,0.346,-0.278,-0.843,-1.372,2.026,-4.041,-12.854,-19.75,-28.586,-32.215,-34.014,-26.342,-36.548,-40.479,-44.224,-45.323,-46.917,-47.051,-37.449,-43.552,-47.393,-48.918,-49.84,-50.819,-50.352,-41.051,-46.157,-50.314,-52.099,-53.305,-54.378,-57.442,-42.477
South Carolina,Charleston County,Residential,13,13.470535000000002,-2.754,-1.986,-0.75,0.294,2.511,4.577,-1.625,-1.573,-1.197,-0.479,-0.289,-0.313,-0.484,-0.835,-0.468,1.227,5.572,8.728,11.754,13.045,14.226,9.74,11.222,16.409,18.923,18.424,19.537,19.963,12.439,11.437,17.621,19.789,19.668,20.455,20.641,13.723,12.354,18.69,20.376,21.475,21.422,23.076,13.471
South Carolina,Colleton County,Retail & recreation,-35,-36.67629166666667,16.083,19.756,10.501,20.521,8.856,1.922,5.445,8.868,16.563,13.021,17.398,14.971,19.411,14.472,13.678,19.157,14.281,4.461,-2.32,-10.57,-19.486,-20.443,-35.121,-25.412,-23.421,-28.045,-25.946,-32.812,-31.415,-33.724,-27.302,-26.097,-18.556,-27.483,-34.388,-37.127,-45.897,-30.242,-31.005,-41.118,-38.054,-37.683,-36.676
South Carolina,Colleton County,Grocery & pharmacy,-4,-4.091135000000001,7.868,6.149,4.34,9.375,2.732,-4.674,7.651,10.7,11.212,10.684,7.986,7.514,14.69,17.95,21.715,26.765,27.377,19.097,15.71,13.689,7.651,6.609,-9.042,-9.014,-9.028,-11.954,-11.351,-11.182,-1.574,-13.383,-17.695,-11.458,-4.44,-10.016,-5.297,-5.979,-14.829,-9.682,-3.125,-19.809,-14.022,-7.356,-4.091
South Carolina,Colleton County,Transit stations,-52,-54.29964666666666,24.379,34.722,14.205,5.723,24.579,,4.868,33.245,45.01,16.572,18.315,12.875,26.596,30.179,69.814,101.595,48.532,30.907,46.816,32.137,1.947,33.245,3.858,-14.205,-9.158,-7.022,-24.379,-29.206,-24.379,-28.292,-28.409,-25.183,-18.727,-28.812,-43.808,-49.867,-45.01,-46.165,-36.63,-32.772,-38.785,-54.517,-54.3
South Carolina,Colleton County,Workplace,-30,-30.809860000000008,7.336,2.541,2.841,0.616,-3.082,-2.765,0.645,-0.734,-6.775,0.947,-1.233,-0.925,1.536,2.58,4.401,-7.622,-10.732,-15.101,-20.957,-18.744,-21.285,-14.671,-24.56,-24.621,-31.127,-29.586,-30.113,-31.605,-25.675,-32.182,-31.25,-34.209,-34.517,-34.108,-37.087,-32.277,-41.497,-33.775,-38.523,-41.913,-39.946,-47.085,-30.81
South Carolina,Darlington County,Retail & recreation,-27,-27.64842999999999,13.703,24.456,24.197,22.862,15.972,6.082,9.718,10.793,13.522,16.673,12.289,15.0,12.94,11.902,11.035,9.014,9.59,-4.144,-13.889,-12.746,-17.907,-17.826,-28.379,-23.755,-32.436,-24.306,-27.95,-23.476,-22.798,-21.201,-11.951,-21.576,-17.361,-24.715,-18.016,-23.283,-25.708,-17.853,-27.149,-31.25,-27.562,-27.079,-27.648
South Carolina,Darlington County,Grocery & pharmacy,0,0.42344333333333617,-0.423,7.477,3.234,2.79,2.255,-5.015,1.218,4.234,5.157,5.774,5.115,0.902,12.309,16.447,19.267,28.362,20.787,4.883,7.44,10.029,8.731,4.446,-7.219,-6.005,-18.601,-10.372,-9.117,-6.295,1.905,-1.805,-6.929,-9.998,-3.608,-3.191,1.624,6.14,2.578,4.619,0.233,-6.99,-0.912,-0.609,0.423
South Carolina,Darlington County,Workplace,-30,-30.82959499999999,-2.336,4.48,0.395,2.138,2.485,0.585,0.411,-0.934,4.48,0.593,1.555,2.485,2.146,-0.205,,6.16,-11.267,-14.187,-18.157,-19.507,-23.833,-11.678,-17.361,-26.684,-30.706,-29.434,-30.821,-32.668,-18.685,-22.401,-32.416,-33.232,-33.639,-34.137,-35.133,-26.626,-22.961,-34.986,-35.953,-37.08,-39.794,-54.241,-30.83
South Carolina,Florence County,Retail & recreation,-46,-48.00724,21.251,27.961,15.074,21.424,12.8,4.607,11.582,17.175,18.8,11.462,14.566,12.895,11.452,9.359,7.63,12.074,2.745,-7.759,-14.376,-19.57,-24.276,-32.818,-40.247,-30.292,-33.788,-28.37,-32.075,-34.459,-36.232,-39.877,-33.229,-32.687,-29.373,-37.209,-32.953,-42.991,-47.291,-35.926,-40.245,-42.555,-42.957,-41.631,-48.007
South Carolina,Florence County,Grocery & pharmacy,3,3.2735700000000043,6.715,9.977,5.878,6.931,5.123,-2.367,7.428,6.883,9.011,6.938,4.784,5.408,10.511,18.655,12.759,26.39,20.14,11.52,10.151,14.583,7.766,1.847,-10.835,-4.24,-13.668,-9.013,-5.777,-8.273,-2.266,-11.371,-1.831,0.293,4.554,1.42,10.298,6.715,-5.793,3.758,0.879,-3.605,-0.568,,3.274
South Carolina,Florence County,Transit stations,-38,-39.89362,21.794,24.802,15.783,6.853,6.068,7.962,23.603,14.406,33.482,14.731,14.391,11.125,14.265,22.659,22.163,28.522,10.873,1.371,4.72,3.981,0.944,-1.847,-11.161,-7.716,-10.965,-13.147,-11.943,-15.735,-18.469,-25.215,-16.134,-16.105,-19.552,-18.577,-20.141,-33.245,-37.616,-25.253,-21.587,-21.238,-22.89,-32.414,-39.894
South Carolina,Florence County,Workplace,-29,-29.887478333333327,1.978,1.047,3.605,1.653,1.984,-1.089,1.146,4.835,-0.785,3.036,1.745,2.165,0.544,-0.477,1.538,-2.617,-8.254,-14.422,-19.841,-20.96,-22.628,-10.549,-24.864,-25.899,-29.578,-29.942,-31.304,-31.603,-20.658,-30.884,-31.117,-33.161,-34.722,-34.843,-35.613,-24.833,-32.716,-34.817,-38.029,-39.141,-40.015,-51.558,-29.887
South Carolina,Florence County,Residential,10,10.500958333333337,-3.023,-2.08,-1.669,-0.572,0.923,2.908,-0.727,-2.247,-1.466,-1.382,-0.437,-0.71,-0.448,-0.706,-1.063,0.696,3.731,8.002,8.698,9.481,10.77,6.349,8.684,12.016,14.729,13.31,13.431,13.99,7.464,8.447,11.12,13.801,13.53,14.365,14.555,8.985,9.171,12.919,15.269,16.103,16.838,20.556,10.501
South Carolina,Georgetown County,Retail & recreation,-47,-49.310378333333325,15.07,21.402,19.727,13.072,9.421,-4.394,17.864,14.829,21.402,22.716,13.623,16.688,20.291,19.762,11.936,12.5,12.105,0.688,-16.15,-20.42,-24.339,-35.325,-41.098,-27.798,-42.038,-34.453,-33.473,-36.955,-43.162,-43.182,-30.039,-38.392,-38.087,-39.806,-37.402,-50.034,-47.538,-30.039,-41.832,-46.565,-42.649,-45.105,-49.31
South Carolina,Georgetown County,Grocery & pharmacy,-2,-2.0576166666666635,8.745,1.266,-0.501,9.719,3.034,-3.949,8.7,10.545,7.599,9.014,5.732,12.389,15.798,21.978,19.29,33.245,25.29,18.939,17.445,15.551,12.363,10.288,-4.116,-0.501,-6.978,-3.792,-7.405,-1.832,-2.315,-6.649,-5.509,-6.23,-4.551,-3.703,-1.603,0.257,-12.348,-2.504,-7.974,-11.125,-6.171,-4.579,-2.058
South Carolina,Georgetown County,Workplace,-30,-31.50405833333333,3.049,2.926,4.288,0.486,0.473,-2.671,5.469,4.573,1.756,3.531,1.7,,2.185,4.688,4.573,2.926,-6.053,-9.713,-18.229,-19.668,-20.052,-13.211,-28.675,-24.213,-29.866,-30.066,-28.652,-26.823,-22.358,-31.016,-27.492,-30.594,-34.564,-33.994,-33.333,-27.947,-38.038,-32.032,-35.208,-37.405,-36.908,-44.271,-31.504
South Carolina,Greenville County,Retail & recreation,-47,-49.33251666666666,15.375,10.111,6.988,5.925,8.88,2.908,9.066,9.327,9.205,5.288,5.461,7.856,5.146,6.171,-0.319,-4.424,-4.613,-11.898,-24.786,-29.342,-29.365,-39.167,-46.467,-41.127,-42.093,-34.811,-36.793,-35.389,-41.563,-43.51,-34.651,-36.047,-33.666,-39.133,-36.439,-46.655,-47.433,-37.276,-42.386,-46.523,-43.95,-42.11,-49.333
South Carolina,Greenville County,Grocery & pharmacy,1,0.6133716666666682,13.121,10.106,9.064,8.421,10.607,5.998,10.109,10.827,8.461,12.607,10.489,10.011,15.508,27.193,19.015,18.687,25.776,18.58,16.179,11.85,16.512,7.2,-11.242,-9.389,-10.339,-2.354,-5.355,-0.518,-1.52,-12.468,-4.606,-1.858,0.566,-2.838,3.188,-5.094,-13.096,-6.141,-2.817,-8.939,-6.496,0.763,0.613
South Carolina,Greenville County,Parks,-41,-42.475725,38.178,10.13,0.369,-10.629,17.3,-27.714,63.387,62.955,22.903,49.867,18.07,64.782,21.98,75.798,34.132,-20.701,-6.649,1.772,-1.472,28.988,89.982,32.11,-42.944,-45.065,-48.186,11.41,-9.238,46.986,-19.215,-36.778,-9.973,-42.871,-21.349,-28.67,8.865,-41.212,-49.771,-19.208,-31.179,-31.655,-32.492,-4.433,-42.476
South Carolina,Greenville County,Transit stations,-18,-18.671385000000008,31.447,-8.102,9.022,-8.538,15.399,,20.668,23.585,13.889,12.303,5.977,20.833,13.021,13.228,20.637,-8.102,-5.741,-15.369,-12.681,-19.965,-21.495,-21.619,-46.296,-36.909,-39.276,-24.457,-18.229,-25.628,-29.481,-39.352,-29.528,-37.568,-22.645,-28.646,-15.708,-28.498,-43.981,-27.067,-18.784,-11.775,-11.285,-9.921,-18.671
South Carolina,Greenville County,Workplace,-39,-41.11995666666668,4.769,5.39,5.109,2.055,2.533,1.804,2.668,4.362,3.167,3.705,1.746,1.645,1.32,0.603,2.501,-3.638,-9.574,-16.904,-24.072,-25.767,-29.626,-20.938,-32.139,-32.843,-36.217,-36.865,-36.615,-39.184,-29.139,-40.225,-40.023,-44.438,-44.788,-45.812,-46.956,-36.991,-44.065,-45.8,-48.504,-49.81,-50.301,-59.298,-41.12
South Carolina,Greenville County,Residential,13,13.154411666666661,-2.443,-1.51,-0.737,0.908,-0.43,1.831,-2.53,-1.69,-1.236,-0.885,-0.108,-0.869,0.137,-1.733,0.479,2.156,5.061,8.377,10.889,12.12,11.219,8.742,10.463,15.679,17.832,15.425,16.583,15.168,11.014,10.923,15.509,19.345,17.675,19.447,17.585,12.801,11.738,17.341,19.824,20.467,20.839,21.724,13.154
South Carolina,Greenwood County,Retail & recreation,-39,-41.084366666666675,12.05,12.767,11.411,11.631,13.11,3.734,11.424,8.249,10.733,8.689,8.235,12.297,13.5,9.124,2.022,3.841,-3.35,-9.881,-17.785,-22.691,-22.372,-30.328,-38.413,-35.49,-41.79,-27.033,-28.722,-29.671,-29.438,-31.295,-27.743,-29.335,-21.037,-33.031,-28.005,-35.989,-35.701,-28.057,-34.688,-39.228,-35.999,-35.066,-41.084
South Carolina,Greenwood County,Grocery & pharmacy,-1,-1.4717416666666714,8.503,4.951,8.518,5.046,5.52,-0.525,4.509,3.925,9.902,6.743,7.029,9.259,12.255,18.968,15.535,24.952,17.568,14.418,13.533,12.955,11.66,10.302,-6.733,-7.808,-8.47,-1.246,-3.852,-2.799,3.598,-4.159,-5.146,-2.703,7.657,1.751,8.551,4.579,1.386,3.017,0.541,-8.547,0.175,-1.399,-1.472
South Carolina,Greenwood County,Workplace,-23,-24.10844166666666,4.094,0.96,4.167,1.449,-0.177,-0.182,1.954,6.368,7.2,4.356,1.812,2.129,3.642,2.541,4.549,-1.44,-7.386,-9.964,-15.971,-18.211,-20.716,-11.372,-22.081,-23.485,-27.355,-26.796,-26.588,-29.706,-15.466,-27.842,-28.03,-30.435,-32.652,-33.508,-31.074,-17.74,-27.842,-32.955,-35.326,-36.556,-37.879,-50.227,-24.108
South Carolina,Newberry County,Retail & recreation,-27,-28.15315166666667,31.974,18.524,8.362,11.837,6.793,2.139,6.324,8.446,17.182,11.468,11.364,8.605,15.614,12.121,7.038,4.296,-2.628,-9.943,-19.928,-16.042,-21.958,-16.49,-34.096,-29.506,-38.826,-23.324,-26.523,-24.417,-17.897,-23.223,-18.874,-23.201,-19.248,-23.742,-22.309,-25.539,-24.431,-27.475,-31.723,-40.987,-31.015,-32.849,-28.153
South Carolina,Newberry County,Transit stations,-47,-48.828125,23.6,33.629,-2.525,5.274,5.144,3.676,6.095,21.973,35.269,6.944,4.615,9.645,14.706,17.176,15.462,25.427,5.682,-0.659,-1.286,-7.353,-9.973,-1.628,-17.224,-20.833,-19.119,-16.075,-18.995,-23.271,-32.552,-31.988,-22.727,-19.119,-23.148,-26.961,-38.785,-40.69,-50.033,-29.04,-21.097,-28.292,-32.475,-46.543,-48.828
South Carolina,Newberry County,Workplace,-29,-30.588620000000002,4.134,1.965,6.69,1.497,3.613,-1.194,0.651,4.96,3.931,7.327,1.497,2.408,0.895,-2.604,1.653,-1.965,-7.645,-12.273,-14.15,-15.819,-16.927,-14.881,-17.689,-20.387,-28.436,-26.493,-25.37,-29.297,-17.361,-26.533,-25.803,-31.43,-31.009,-35.817,-38.411,-21.495,-25.55,-34.404,-38.913,-40.342,-42.681,-54.362,-30.589
South Carolina,Pickens County,Retail & recreation,-36,-37.672271666666674,21.77,16.795,10.429,12.702,11.622,4.675,9.211,15.76,10.899,8.28,5.479,13.467,8.079,7.929,3.313,-1.31,-4.741,-12.826,-24.289,-24.354,-26.73,-29.769,-42.763,-39.315,-41.032,-32.222,-34.337,-32.855,-31.236,-36.152,-29.518,-33.498,-28.84,-32.664,-30.196,-35.685,-39.666,-33.69,-34.494,-40.707,-34.741,-33.947,-37.672
South Carolina,Pickens County,Grocery & pharmacy,4,4.427668333333337,14.332,8.868,11.345,8.553,12.658,5.801,4.515,15.147,7.809,9.798,8.17,13.977,19.08,23.674,23.653,25.545,31.585,16.34,16.614,18.178,12.883,11.535,-8.074,-8.38,-11.106,-0.527,-2.707,-4.074,0.699,-10.853,-5.93,-5.234,1.846,-0.129,2.202,1.282,-8.339,-2.707,1.277,-7.648,-2.578,-2.533,4.428
