FIPS,total_pop,60plus
16067,20448,4407
16069,40014,10185
16071,4284,1060
16073,11384,2589
16075,22839,5298
16077,7667,1593
16079,12490,3745
16081,10776,1500
16083,82248,16621
16085,10104,3660
16087,9996,3185
17001,66787,16968
17003,6776,1841
17005,17034,4097
17007,53638,10544
17009,6791,1260
17011,33619,9368
17013,4897,1471
17015,14704,4653
17017,12880,2896
17019,207946,35016
17021,33562,8376
17023,15924,4021
17025,13393,3767
17027,37640,8553
17029,52540,11175
17031,5238541,1005046
17033,19214,4912
17035,10899,2730
17037,104473,16887
17039,16176,3995
17041,19830,4574
17043,931826,189208
17045,17603,4908
17047,6570,1759
17049,34164,8041
17051,21980,5172
17053,13470,3522
17055,39302,10199
17057,35733,9382
17059,5226,1526
17061,13311,3320
17063,50333,9077
17065,8259,2379
17067,18264,5387
17069,4161,1198
17071,6927,2225
17073,49649,12932
17075,28457,8008
17077,59115,11301
17079,9608,2496
17081,38358,9508
17083,22215,5642
17085,22046,7704
17087,12899,3202
17089,529402,93411
17091,110801,23667
17093,122933,16292
17095,51374,13829
17097,704476,131932
17099,111151,27315
17101,16457,3784
17103,34670,8585
17105,36812,9046
17107,29488,7086
17109,31597,7097
17111,308043,58774
17113,173231,29727
17115,107587,27263
17117,45960,12200
17119,266153,60531
17121,38305,9723
17123,11925,3583
17125,13904,3948
17127,14594,3963
17129,12416,3156
17131,15794,4395
17133,33739,7670
17135,29173,7326
17137,34442,8786
17139,14711,3592
17141,51619,12307
17143,186145,40675
17145,21467,5195
17147,16433,4034
17149,15930,4190
17151,4360,1604
17153,5691,1566
17155,5771,1655
17157,32829,8130
17159,15953,4167
17161,146205,35994
17163,264433,54566
17165,24430,6376
17167,198134,45191
17169,7181,2052
17171,5109,1345
17173,21906,6197
17175,5551,1581
17177,45839,13432
17179,134695,31973
17181,17267,4624
17183,79207,19371
17185,11568,3004
17187,17429,4147
17189,14260,3641
17191,16569,4419
17193,14186,3906
17195,56823,14999
17197,687727,116816
17199,67477,16353
17201,287512,65218
17203,38942,8978
18001,35018,7140
18003,367747,70976
18005,81024,16862
18007,8685,2012
18009,12214,3332
18011,63013,11259
18013,15007,4827
18015,19994,5056
18017,38248,8878
18019,114893,23978
18021,26375,6400
18023,32455,7149
18025,10598,2693
18027,32777,6611
18029,49564,11201
18031,26480,5924
18033,42524,9197
18035,115938,25540
18037,42379,9945
18039,202924,38669
18041,23426,6065
18043,76481,16661
18045,16620,4359
18047,22835,5422
18049,20296,5248
18051,33596,7576
18053,67615,16678
18055,32431,8315
18057,309687,49209
18059,72776,15514
18061,39450,9441
18063,158170,28822
18065,48649,12162
18067,82457,20461
18069,36520,8144
18071,43779,9380
18073,33448,7509
18075,21107,5031
18077,32293,7164
18079,27840,6079
18081,149359,29234
18083,37763,8735
18085,78720,16785
18087,38720,7291
18089,488694,104898
18091,110839,25713
18093,45669,11750
18095,129641,30680
18097,939964,160942
18099,46752,10866
18101,10219,2501
18103,36035,7957
18105,144436,23773
18107,38288,8814
18109,69533,15510
18111,14056,3390
18113,47421,9969
18115,5911,1568
18117,19623,4677
18119,20957,5415
18121,17062,4098
18123,19229,4691
18125,12471,3271
18127,167391,36197
18129,25599,6134
18131,12761,3245
18133,37543,8058
18135,25203,6468
18137,28372,6402
18139,16765,4040
18141,268613,57385
18143,23722,5247
18145,44339,10052
18147,20610,5172
18149,22966,5553
18151,34459,8776
18153,20900,4547
18155,10617,2474
18157,186081,28594
18159,15290,3910
18161,7225,1800
18163,181831,40560
18165,15644,4085
18167,107723,22306
18169,31848,8461
18171,8269,2214
18173,61581,13734
18175,27807,6355
18177,66972,16958
18179,27832,6613
18181,24279,6402
18183,33481,8060
19001,7192,2161
19003,3785,1142
19005,13940,4004
19007,12547,3759
19009,5711,1817
19011,25646,5969
19013,132960,28271
19015,26381,6491
19017,24741,6207
19019,21101,4777
19021,20369,4287
19023,14822,4297
19025,9814,3002
19027,20428,5287
19029,13327,3898
19031,18368,4727
19033,43134,12003
19035,11577,3637
19037,12140,3281
19039,9267,2256
19041,16387,4559
19043,17711,5374
19045,47587,12082
19047,17131,3829
19049,80864,12950
19051,8834,2110
19053,8105,2081
19055,17326,4418
19057,39876,10621
19059,17000,5604
19061,96571,22155
19063,9661,2546
19065,20139,5519
19067,15904,4425
19069,10326,2904
19071,6985,2030
19073,9046,2584
19075,12354,3350
19077,10664,3168
19079,15201,4022
19081,10971,3061
19083,17239,4835
19085,14196,3779
19087,19865,4736
19089,9321,2496
19091,9586,2548
19093,6965,2010
19095,16231,3976
19097,19409,5316
19099,36789,9289
19101,17945,5327
19103,144425,21650
19105,20468,5304
19107,10223,2899
19109,15166,4508
19111,34785,9123
19113,220008,45693
19115,11238,2610
19117,8600,2459
19119,11745,2710
19121,15720,3468
19123,22301,5458
19125,33127,7804
19127,40476,9549
19129,14933,3584
19131,10663,2990
19133,8865,2842
19135,7912,1998
19137,10239,2863
19139,42923,9608
19141,13944,3787
19143,6149,1621
19145,15393,4507
19147,9110,2512
19149,25027,6126
19151,6972,2100
19153,467235,81860
19155,93287,21265
19157,18428,4687
19159,4986,1529
19161,9936,2963
19163,171493,36851
19165,11772,3381
19167,34692,6858
19169,95888,14980
19171,17236,4455
19173,6214,1749
19175,12497,3366
19177,7308,2036
19179,35321,8335
19181,48630,10113
19183,22095,5388
19185,6405,1872
19187,36945,8966
19189,10545,3095
19191,20575,5243
19193,102397,20666
19195,7502,1990
19197,12864,3778
20001,12752,3383
20003,7840,2090
20005,16466,3518
20007,4905,1307
20009,27067,6712
20011,14757,3661
20013,9736,2486
20015,66260,13403
20017,2665,837
20019,3425,1156
20021,20501,5088
20023,2677,911
20025,2089,587
20027,8203,2413
20029,9191,2463
20031,8328,2233
20033,1741,582
20035,35732,8333
20037,39099,7956
20039,2891,989
20041,19162,4867
20043,7790,2038
20045,117806,18450
20047,2946,782
20049,2581,935
20051,28877,5912
20053,6331,1772
20055,37097,5555
20057,34658,5103
20059,25599,5593
20061,35796,3964
20063,2632,882
20065,2561,862
20067,7716,1303
20069,6004,1227
20071,1210,371
20073,6227,2057
20075,2621,455
20077,5746,1672
20079,34683,8619
20081,4081,804
20083,1875,577
20085,13322,3473
20087,18856,4716
20089,2963,1107
20091,578797,110038
20093,3931,755
20095,7576,2096
20097,2524,729
20099,20553,5125
20101,1702,442
20103,79359,15061
20105,3121,944
20107,9602,2635
20109,2790,840
20111,33302,6409
20113,28792,7540
20115,12087,3564
20117,9859,2826
20119,4295,1016
20121,32976,7544
20123,6230,1776
20125,33463,8712
20127,5605,1854
20129,2931,666
20131,10095,2619
20133,16209,4042
20135,3001,969
20137,5527,1317
20139,15894,4124
20141,3684,1175
20143,5957,1490
20145,6776,1864
20147,5446,1631
20149,23188,4546
20151,9670,2512
20153,2520,865
20155,63360,15902
20157,4705,1745
20159,9868,2499
20161,75696,8478
20163,5148,1392
20165,3119,974
20167,6987,2235
20169,55334,12413
20171,4981,1338
20173,510484,97508
20175,22948,3309
20177,178392,41511
20179,2497,725
20181,5999,1592
20183,3693,1327
20185,4251,1151
20187,2107,490
20189,5741,1076
20191,23336,5525
20193,7847,1833
20195,2899,892
20197,6918,1733
20199,1591,421
20201,5572,1719
20203,2157,537
20205,8858,2497
20207,3178,1025
20209,163227,27635
21001,19304,4558
21003,20628,4783
21005,22017,4689
21007,8152,2211
21009,43418,9933
21011,12189,2815
21013,27469,6714
21015,127682,22880
21017,20017,4949
21019,48486,12601
21021,29773,7324
21023,8330,1834
21025,13276,2950
21027,19991,5162
21029,78622,16484
21031,12735,3036
21033,12747,3148
21035,38616,8253
21037,91804,19251
21039,4890,1333
21041,10695,2153
21043,27385,6600
21045,15805,4012
21047,72438,11300
21049,35757,8552
21051,20866,4137
21053,10208,2661
21055,9154,2418
21057,6744,1807
21059,99258,22152
21061,12063,3138
21063,7533,1799
21065,14382,3491
21067,315109,55235
21069,14515,3347
21071,37447,8825
21073,49969,11999
21075,6259,1667
21077,8652,1693
21079,17226,4077
21081,24800,4489
21083,37259,8947
21085,26129,6066
21087,11044,3113
21089,36012,9521
21091,8700,1996
21093,107699,19472
21095,27548,6579
21097,18630,4370
21099,18531,4124
21101,46252,10871
21103,15677,3627
21105,4625,1387
21107,45985,11048
21109,13369,3018
21111,764378,161771
21113,51667,10163
21115,23064,5441
21117,163987,31245
21119,15690,3700
21121,31424,7187
21123,14102,3193
21125,59901,12999
21127,15844,3685
21129,6717,1622
21131,10648,2421
21133,23011,5498
21135,13565,3211
21137,24413,5718
21139,9288,2565
21141,26847,6256
21143,8268,2744
21145,65285,16639
21147,17748,3649
21149,9361,2342
21151,88376,16155
21153,12783,2681
21155,19335,4112
21157,31177,8929
21159,12175,2520
21161,17167,4041
21163,28452,5153
21165,6381,1692
21167,21378,5365
21169,9990,2518
21171,10645,2575
21173,27550,5851
21175,13281,3148
21177,31153,7703
21179,45131,9073
21181,7061,1716
21183,24062,5824
21185,64633,11255
21187,10686,2733
21189,4497,1077
21191,14530,2966
21193,27329,6143
21195,61586,14290
21197,12349,2502
21199,63974,15846
21201,2161,601
21203,16815,4047
21205,24392,4411
21207,17731,4680
21209,52322,8436
21211,45831,9425
21213,17881,3934
21215,18012,3154
21217,25406,5890
21219,12377,2555
21221,14286,4271
21223,8697,2046
21225,14915,3262
21227,123824,21484
21229,11999,2857
21231,20692,5282
21233,13180,3120
21235,36027,8053
21237,7251,1797
21239,25817,6129
22001,62607,12138
22003,25667,4916
22005,119129,18726
22007,22881,5211
22009,41095,9096
22011,36598,7788
22013,13806,3706
22015,125698,23653
22017,251069,54633
22019,198753,39284
22021,10000,2320
22023,6806,1649
22025,10044,2388
22027,16296,3960
22029,20211,4548
22031,27164,6289
22033,446167,81150
22035,7318,1369
22037,19553,4704
22039,33750,6942
22041,20388,4672
22043,22305,4423
22045,73346,14679
22047,33122,6966
22049,15952,3997
22051,437038,96599
22053,31405,6940
22055,238230,41592
22057,98112,19612
22059,14930,3353
22061,47536,8335
22063,137096,24235
22065,11616,2251
22067,26290,6321
22069,39051,8279
22071,388182,74618
22073,156433,30466
22075,23394,4024
22077,22271,5833
22079,132080,27820
22081,8723,2085
22083,20619,4470
22085,24145,6342
22087,45067,6771
22089,52728,9258
22091,10509,2784
22093,21485,4921
22095,43565,8070
22097,83580,17636
22099,53609,10425
22101,52578,11173
22103,249201,55158
22105,128850,24738
22107,4771,1350
22109,113067,21180
22111,22537,6027
22113,59841,11580
22115,51906,7791
22117,46449,11494
22119,40043,10020
22121,25518,4884
22123,11274,2783
22125,15376,3049
22127,14631,3354
23001,107317,24289
23003,68840,20453
23005,289173,68027
23007,30177,8571
23009,54468,16940
23011,121289,31337
23013,39700,12268
23015,34021,11973
23017,57230,16027
23019,152284,36356
23021,16960,5761
23023,35149,9471
23025,50994,13707
23027,39280,11094
23029,31822,9959
23031,201454,52544
24001,72591,18311
24003,564600,111090
24005,828637,186412
24009,90824,18153
24011,32785,6877
24013,167319,36730
24015,102416,21069
24017,156021,26064
24019,32386,8893
24021,246105,46881
24023,29516,8442
24025,250132,53295
24027,312495,57302
24029,19666,6220
24031,1039198,209461
24033,905161,159437
24035,49071,12065
24037,110979,18983
24039,25801,5570
24041,37461,12868
24043,149546,33148
24045,102014,21277
24047,51559,17655
24510,619796,115716
25001,213900,80676
25003,127751,37339
25005,557016,124173
25007,17275,5109
25009,775860,173485
25011,70926,19773
25013,469188,103567
25015,161197,34945
25017,1582857,319971
25019,10912,2283
25021,694389,155147
25023,509114,119899
25025,780685,125537
25027,818249,170081
26001,10413,4705
26003,9254,3126
26005,114145,24717
26007,28730,8520
26009,23133,8100
26011,15238,4939
26013,8580,2373
26015,59607,14931
26017,105350,27300
26019,17462,5771
26021,154948,39067
26023,43543,10379
26025,134327,31227
26027,51397,13966
26029,26160,8123
26031,25475,8824
26033,38023,8659
26035,30597,9532
26037,77321,16938
26039,13821,4436
26041,36395,10991
26043,25694,7463
26045,108586,26110
26047,32978,9255
26049,410881,93094
26051,25324,8522
26053,15577,5016
26055,91222,23009
26057,41319,9162
26059,45909,11598
26061,36333,8122
26063,31750,10169
26065,286185,51447
26067,64147,12876
26069,25317,9417
26071,11291,4274
26073,70572,11665
26075,158989,36118
26077,259830,51450
26079,17358,4698
26081,636376,115828
26083,2136,907
26085,11669,4182
26087,88205,20857
26089,21564,8279
26091,98585,23897
26093,186946,41663
26095,6406,1804
26097,10836,3817
26099,864019,192977
26101,24432,8002
26103,67145,16470
26105,28800,8675
26107,43181,10289
26109,23389,7186
26111,83489,19242
26113,14982,4031
26115,149619,35206
26117,62956,14301
26119,9290,3665
26121,172707,37993
26123,47899,12202
26125,1241860,273867
26127,26317,7218
26129,20979,6773
26131,6072,2710
26133,23221,6243
26135,8304,2898
26137,24247,6554
26139,280243,54457
26141,12854,5142
26143,23934,9877
26145,193803,47390
26147,159761,38914
26149,60890,14461
26151,41535,11385
26153,8114,2847
26155,68617,16363
26157,53569,14012
26159,75190,18230
26161,361509,65781
26163,1763822,362535
26165,32915,8300
27001,15841,6467
27003,344861,63313
27005,33552,9157
27007,45847,9482
27009,39360,7326
27011,5039,1693
27013,65767,12070
27015,25243,6857
27017,35408,8198
27019,98799,15454
27021,28810,9475
27023,12040,3359
27025,54297,10806
27027,62040,10982
27029,8824,2327
27031,5270,1941
27033,11437,3290
27035,63505,17980
27037,414655,76445
27039,20485,4015
27041,36891,10617
27043,13966,4173
27045,20825,5688
27047,30619,8707
27049,46138,11621
27051,5923,1742
27053,1224763,229263
27055,18709,5202
27057,20743,6829
27059,38584,8001
27061,45237,13673
27063,10104,2709
27065,15948,4382
27067,42577,10445
27069,4384,1407
27071,12776,3913
27073,6840,2313
27075,10578,3602
27077,3841,1232
27079,27810,6343
27081,5724,1776
27083,25789,5263
27085,35816,8587
27087,5500,1271
27089,9397,2567
27091,20084,5976
27093,23105,6003
27095,25635,6127
27097,32880,8184
27099,39386,9579
27101,8394,2671
27103,33477,6976
27105,21854,4637
27107,6589,1823
27109,151685,29861
27111,57790,17615
27113,14197,3528
27115,29057,7541
27117,9229,2504
27119,31564,7554
27121,10932,3343
27123,537893,102817
27125,4017,1029
27127,15430,4318
27129,14798,4088
27131,65251,13206
27133,9433,2496
27135,15537,3493
27137,200294,50288
27139,141463,20208
27141,92024,13888
27143,14888,3491
27145,155300,30193
27147,36612,8393
27149,9759,2143
27151,9448,2663
27153,24423,6859
27155,3357,1101
27157,21490,5929
27159,13626,3789
27161,18898,4286
27163,250979,49212
27165,10936,2839
27167,6398,1726
27169,50992,10914
27171,131130,22152
27173,9930,2657
28001,31583,7493
28003,37242,8512
28005,12574,3755
28007,18731,4680
28009,8306,2049
28011,33121,6690
28013,14617,3727
28015,10221,2872
28017,17305,3982
28019,8360,2362
28021,9106,1890
28023,16089,4038
28025,19990,4730
28027,24296,4799
28029,28748,6493
28031,19172,4312
28033,173267,29708
28035,75835,13870
28037,7772,2064
28039,23545,4774
28041,13801,2497
28043,21379,4746
28045,46277,11941
28047,200491,38987
28049,243249,44090
28051,18267,3568
28053,8678,1849
28055,1296,285
28057,23439,5355
28059,141314,28610
28061,16547,4371
28063,7463,1641
28065,11639,3162
28067,68328,14853
28069,10082,2367
28071,52744,8639
28073,60517,10854
28075,78221,17686
28077,12659,3005
28079,22936,4515
28081,84840,16183
28083,30113,5674
28085,34542,7781
28087,59558,12035
28089,102212,18766
28091,25466,5805
28093,35981,7858
28095,35967,9309
28097,10309,2723
28099,29437,5993
28101,21437,4496
28103,10942,2193
28105,49392,7290
28107,34229,7047
28109,55049,13434
28111,12047,2963
28113,39763,8664
28115,31075,6065
28117,25389,6023
28119,7537,1751
28121,149645,29151
28123,28399,5665
28125,4631,994
28127,27215,6069
28129,16114,3931
28131,17981,3849
28133,26915,4684
28135,14552,2813
28137,28333,5924
28139,21993,4899
28141,19476,5209
28143,10276,1747
28145,28202,6249
28147,14670,3582
28149,47510,10588
28151,48002,9825
28153,20458,4447
28155,9868,2204
28157,9084,2046
28159,18482,4963
28161,12426,3373
28163,27496,4778
29001,25437,4911
29003,17358,4296
29005,5335,1721
29007,25763,6046
29009,35398,9615
29011,11942,3000
29013,16405,4245
29015,18918,7360
29017,12347,3295
29019,174589,28350
29021,89425,18624
29023,42826,10394
29025,9046,2392
29027,44793,9537
29029,44855,15571
29031,78013,16826
29033,8909,2477
29035,6255,1620
29037,101888,22296
29039,13862,3982
29041,7586,2288
29043,83028,16810
29045,6807,1916
29047,236068,44493
29049,20495,4743
29051,76749,16261
29053,17620,4083
29055,24387,5953
29057,7581,2250
29059,16441,4324
29061,8300,2185
29063,12564,2717
29065,15566,4322
29067,13391,3895
29069,30905,7240
29071,102413,22817
29073,14769,4445
29075,6688,1683
29077,286759,60988
29079,10111,2793
29081,8615,2484
29083,21834,5958
29085,9352,3794
29087,4499,1389
29089,10144,2395
29091,40139,9866
29093,10286,2880
29095,688554,136794
29097,118522,23997
29099,222639,44346
29101,53941,8743
29103,3976,1111
29105,35488,8182
29107,32655,8174
29109,38131,9049
29111,10078,2396
29113,54800,9951
29115,12248,3264
29117,15025,3870
29119,22753,4923
29121,15319,4479
29123,12226,3126
29125,8959,2377
29127,28703,6636
29129,3669,1037
29131,24947,6151
29133,13916,3068
29135,15904,3467
29137,8676,2514
29139,11618,3177
29141,20097,6188
29143,18030,4377
29145,58237,13667
