name,level,city,county,state,country_code,population,lat,long,url,aggregate,tz,cases,deaths,recovered,active,tested,growthFactor,date,country,location
Austria,country,,,,Austria,8809212.0,47.696000000000005,13.345999999999998,https://github.com/CSSEGISandData/COVID-19,country,Europe/Vienna,13555.0,319.0,6064.0,7172.0,,,2020-04-10,,
Austria,country,,,,Austria,8809212.0,47.696000000000005,13.345999999999998,https://github.com/CSSEGISandData/COVID-19,country,Europe/Vienna,13555.0,319.0,6064.0,7172.0,,,2020-04-11,,
Azerbaijan,country,,,,Azerbaijan,10000000.0,40.1505,47.81050000000001,https://github.com/CSSEGISandData/COVID-19,country,Asia/Baku,991.0,10.0,159.0,822.0,,,2020-04-10,,
Azerbaijan,country,,,,Azerbaijan,10000000.0,40.1505,47.81050000000001,https://github.com/CSSEGISandData/COVID-19,country,Asia/Baku,991.0,10.0,159.0,822.0,,,2020-04-11,,
The Bahamas,country,,,,The Bahamas,395361.0,24.0925,-76.5975,https://github.com/CSSEGISandData/COVID-19,country,America/Nassau,42.0,8.0,5.0,29.0,,,2020-04-10,,
The Bahamas,country,,,,The Bahamas,395361.0,24.0925,-76.5975,https://github.com/CSSEGISandData/COVID-19,country,America/Nassau,42.0,8.0,5.0,29.0,,,2020-04-11,,
Bahrain,country,,,,Bahrain,1492584.0,26.029,50.6055,https://github.com/CSSEGISandData/COVID-19,country,Asia/Bahrain,925.0,6.0,539.0,380.0,,,2020-04-10,,
Bahrain,country,,,,Bahrain,1492584.0,26.029,50.6055,https://github.com/CSSEGISandData/COVID-19,country,Asia/Bahrain,925.0,6.0,539.0,380.0,,,2020-04-11,,
Bangladesh,country,,,,Bangladesh,164669751.0,23.6125,90.344,https://github.com/CSSEGISandData/COVID-19,country,Asia/Dhaka,424.0,27.0,33.0,364.0,,,2020-04-10,,
Bangladesh,country,,,,Bangladesh,164669751.0,23.6125,90.344,https://github.com/CSSEGISandData/COVID-19,country,Asia/Dhaka,424.0,27.0,33.0,364.0,,,2020-04-11,,
Barbados,country,,,,Barbados,285719.0,13.1935,-59.5355,https://github.com/CSSEGISandData/COVID-19,country,America/Barbados,67.0,4.0,11.0,52.0,,,2020-04-10,,
Barbados,country,,,,Barbados,285719.0,13.1935,-59.5355,https://github.com/CSSEGISandData/COVID-19,country,America/Barbados,67.0,4.0,11.0,52.0,,,2020-04-11,,
Belarus,country,,,,Belarus,9504700.0,53.7165,27.9675,https://github.com/CSSEGISandData/COVID-19,country,Europe/Minsk,1981.0,19.0,169.0,1793.0,,,2020-04-10,,
Belarus,country,,,,Belarus,9504700.0,53.7165,27.9675,https://github.com/CSSEGISandData/COVID-19,country,Europe/Minsk,1981.0,19.0,169.0,1793.0,,,2020-04-11,,
Belgium,country,,,,Belgium,11431406.0,50.50100000000001,4.475,https://github.com/CSSEGISandData/COVID-19,country,Europe/Brussels,26667.0,3019.0,5568.0,18080.0,,,2020-04-10,,
Belgium,country,,,,Belgium,11431406.0,50.50100000000001,4.475,https://github.com/CSSEGISandData/COVID-19,country,Europe/Brussels,26667.0,3019.0,5568.0,18080.0,,,2020-04-11,,
Benin,country,,,,Benin,11175692.0,9.321,2.311,https://github.com/CSSEGISandData/COVID-19,country,Africa/Porto-Novo,35.0,1.0,5.0,29.0,,,2020-04-10,,
Benin,country,,,,Benin,11175692.0,9.321,2.311,https://github.com/CSSEGISandData/COVID-19,country,Africa/Porto-Novo,35.0,1.0,5.0,29.0,,,2020-04-11,,
Bhutan,country,,,,Bhutan,807610.0,27.4745,90.4335,https://github.com/CSSEGISandData/COVID-19,country,Asia/Thimphu,5.0,,2.0,3.0,,,2020-04-10,,
Bhutan,country,,,,Bhutan,807610.0,27.4745,90.4335,https://github.com/CSSEGISandData/COVID-19,country,Asia/Thimphu,5.0,,2.0,3.0,,,2020-04-11,,
Bolivia,country,,,,Bolivia,11051600.0,-16.2835,-63.5475,https://github.com/CSSEGISandData/COVID-19,country,America/La_Paz,268.0,19.0,2.0,247.0,,,2020-04-10,,
Bolivia,country,,,,Bolivia,11051600.0,-16.2835,-63.5475,https://github.com/CSSEGISandData/COVID-19,country,America/La_Paz,268.0,19.0,2.0,247.0,,,2020-04-11,,
Bosnia and Herzegovina,country,,,,Bosnia and Herzegovina,3507017.0,43.916000000000004,17.673499999999994,https://github.com/CSSEGISandData/COVID-19,country,Europe/Sarajevo,901.0,36.0,129.0,736.0,,,2020-04-10,,
Bosnia and Herzegovina,country,,,,Bosnia and Herzegovina,3507017.0,43.916000000000004,17.673499999999994,https://github.com/CSSEGISandData/COVID-19,country,Europe/Sarajevo,901.0,36.0,129.0,736.0,,,2020-04-11,,
Brunei,country,,,,Brunei,428697.0,4.5245,114.7195,https://github.com/CSSEGISandData/COVID-19,country,Asia/Brunei,136.0,1.0,99.0,36.0,,,2020-04-10,,
Brunei,country,,,,Brunei,428697.0,4.5245,114.7195,https://github.com/CSSEGISandData/COVID-19,country,Asia/Brunei,136.0,1.0,99.0,36.0,,,2020-04-11,,
Bulgaria,country,,,,Bulgaria,7000039.0,42.726000000000006,25.4825,https://github.com/CSSEGISandData/COVID-19,country,Europe/Sofia,635.0,25.0,54.0,556.0,,,2020-04-10,,
Bulgaria,country,,,,Bulgaria,7000039.0,42.726000000000006,25.4825,https://github.com/CSSEGISandData/COVID-19,country,Europe/Sofia,635.0,25.0,54.0,556.0,,,2020-04-11,,
Burkina Faso,country,,,,Burkina Faso,19193382.0,12.248,-1.5519999999999998,https://github.com/CSSEGISandData/COVID-19,country,Africa/Ouagadougou,443.0,24.0,146.0,273.0,,,2020-04-10,,
Burkina Faso,country,,,,Burkina Faso,19193382.0,12.248,-1.5519999999999998,https://github.com/CSSEGISandData/COVID-19,country,Africa/Ouagadougou,443.0,24.0,146.0,273.0,,,2020-04-11,,
Cape Verde,country,,,,Cape Verde,546388.0,15.999,-24.0135,https://github.com/CSSEGISandData/COVID-19,country,Atlantic/Cape_Verde,7.0,1.0,1.0,5.0,,,2020-04-10,,
Cape Verde,country,,,,Cape Verde,546388.0,15.999,-24.0135,https://github.com/CSSEGISandData/COVID-19,country,Atlantic/Cape_Verde,7.0,1.0,1.0,5.0,,,2020-04-11,,
Cambodia,country,,,,Cambodia,16005373.0,12.3075,104.98100000000001,https://github.com/CSSEGISandData/COVID-19,country,Asia/Phnom_Penh,119.0,,72.0,47.0,,,2020-04-10,,
Cambodia,country,,,,Cambodia,16005373.0,12.3075,104.98100000000001,https://github.com/CSSEGISandData/COVID-19,country,Asia/Phnom_Penh,119.0,,72.0,47.0,,,2020-04-11,,
Cameroon,country,,,,Cameroon,24053727.0,7.3660000000000005,12.3445,https://github.com/CSSEGISandData/COVID-19,country,Africa/Douala,820.0,12.0,98.0,710.0,,,2020-04-10,,
Cameroon,country,,,,Cameroon,24053727.0,7.3660000000000005,12.3445,https://github.com/CSSEGISandData/COVID-19,country,Africa/Douala,820.0,12.0,98.0,710.0,,,2020-04-11,,
Central African Republic,country,,,,Central African Republic,4659080.0,6.603,20.941000000000006,https://github.com/CSSEGISandData/COVID-19,country,Africa/Bangui,8.0,,,8.0,,,2020-04-10,,
Central African Republic,country,,,,Central African Republic,4659080.0,6.603,20.941000000000006,https://github.com/CSSEGISandData/COVID-19,country,Africa/Bangui,8.0,,,8.0,,,2020-04-11,,
Chad,country,,,,Chad,15477751.0,15.4695,18.7365,https://github.com/CSSEGISandData/COVID-19,country,Africa/Ndjamena,11.0,,2.0,9.0,,,2020-04-10,,
Chad,country,,,,Chad,15477751.0,15.4695,18.7365,https://github.com/CSSEGISandData/COVID-19,country,Africa/Ndjamena,11.0,,2.0,9.0,,,2020-04-11,,
Chile,country,,,,Chile,18054726.0,-37.018,-87.93799999999999,https://github.com/CSSEGISandData/COVID-19,country,Etc/GMT+6,6501.0,65.0,1571.0,4865.0,,,2020-04-10,,
Chile,country,,,,Chile,18054726.0,-37.018,-87.93799999999999,https://github.com/CSSEGISandData/COVID-19,country,Etc/GMT+6,6501.0,65.0,1571.0,4865.0,,,2020-04-11,,
"Anhui, China",state,,,Anhui,China,60300000.0,32.0255,117.2565,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,991.0,6.0,984.0,1.0,,,2020-04-10,,Anhui
"Anhui, China",state,,,Anhui,China,60300000.0,32.0255,117.2565,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,991.0,6.0,984.0,1.0,,,2020-04-11,,Anhui
"Beijing, China",state,,,Beijing,China,21710000.0,40.247,116.464,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,588.0,8.0,469.0,111.0,,,2020-04-10,,Beijing
"Beijing, China",state,,,Beijing,China,21710000.0,40.247,116.464,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,588.0,8.0,469.0,111.0,,,2020-04-11,,Beijing
"Chongqing, China",state,,,Chongqing,China,7990000.0,30.183000000000003,107.7425,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,579.0,6.0,570.0,3.0,,,2020-04-10,,Chongqing
"Chongqing, China",state,,,Chongqing,China,7990000.0,30.183000000000003,107.7425,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,579.0,6.0,570.0,3.0,,,2020-04-11,,Chongqing
