FIPS,hospitals,icu_beds,total_pop,60plus,
5129,0,0,7925,2684,
5131,2,69,127362,26807,
5133,0,0,17206,3266,
5135,0,0,17041,5487,
5137,1,0,12443,4150,
5139,1,16,40022,9680,
5141,1,0,16751,5519,
5143,3,61,223683,34691,
5145,1,13,78706,16257,
5147,0,0,6763,1975,
5149,2,0,21601,4891,
6001,12,282,1629615,300276,
6003,0,0,1203,429,
6005,1,6,37306,12967,
6007,4,43,225207,53616,
6009,1,0,45057,15872,
6011,1,0,21479,4027,
6013,7,163,1123678,231404,
6015,1,6,27442,6262,
6017,2,28,185015,49939,
6019,7,164,971616,157757,
6021,1,0,27935,6019,
6023,4,32,135490,31200,
6025,2,28,179957,30768,
6027,2,4,18195,5588,
6029,10,144,878744,130831,
6031,1,22,150183,20569,
6033,2,8,64095,19092,
6035,1,0,31470,5929,
6037,76,2126,10105722,1800341,
6039,1,10,154440,28392,
6041,3,66,260814,72684,
6043,1,0,17658,6311,
6045,3,14,87497,24313,
6047,2,24,267390,40383,
6049,2,0,9017,3106,
6051,1,2,14058,2723,
6053,4,27,433168,76257,
6055,2,32,141005,33686,
6057,2,10,98838,33612,
6059,24,651,3155816,598030,
6061,3,70,374985,92327,
6063,3,0,18724,6935,
6065,16,351,2355002,437180,
6067,8,396,1495400,279005,
6069,1,8,58671,10074,
6071,18,410,2121220,330448,
6073,15,570,3283665,604412,
6075,10,337,864263,179193,
6077,7,121,724153,123774,
6079,3,46,280119,70097,
6081,7,131,763450,161619,
6083,5,82,442996,86816,
6085,9,313,1911226,338720,
6087,3,22,273263,57232,
6089,4,81,178919,47900,
6091,0,0,2885,986,
6093,2,4,43530,14018,
6095,4,92,434981,90069,
6097,8,82,500943,124291,
6099,5,88,535684,92698,
6101,1,0,95583,19219,
6103,1,8,63247,15876,
6105,1,0,13037,4734,
6107,4,51,458809,69266,
6109,1,6,53899,17942,
6111,7,139,847834,167777,
6113,2,14,212605,34981,
6115,1,24,74644,12327,
8001,3,168,487850,69778,
8003,1,6,16345,2952,
8005,3,127,626612,111767,
8007,1,0,12592,4283,
8009,1,0,3581,1178,
8011,0,0,5806,1296,
8013,5,72,316782,59425,
8014,1,20,64283,11264,
8015,1,2,18818,6312,
8017,1,0,2127,380,
8019,0,0,9257,2454,
8021,1,0,8147,2034,
8023,0,0,3628,1272,
8025,0,0,5514,1074,
8027,0,0,4505,2092,
8029,1,6,30217,9773,
8031,6,227,678467,109403,
8033,0,0,1736,537,
8035,3,54,320940,50139,
8037,1,5,53726,8107,
8039,0,0,24553,5592,
8041,3,95,674826,116223,
8043,1,4,46601,12609,
8045,2,5,57945,10202,
8047,0,0,5793,1583,
8049,1,0,14793,3858,
8051,1,0,16215,2905,
8053,0,0,820,329,
8055,1,0,6498,2568,
8057,0,0,1372,398,
8059,4,94,564029,124374,
8061,1,0,1368,370,
8063,1,0,7846,1873,
8065,1,0,7481,1439,
8067,2,11,54469,12490,
8069,5,55,330976,67199,
8071,1,0,14151,4307,
8073,1,0,5520,1200,
8075,1,4,21885,5056,
8077,3,44,148798,35763,
8079,0,0,834,394,
8081,1,0,13056,2777,
8083,1,4,25770,7299,
8085,1,8,40908,12041,
8087,2,6,28123,6047,
8089,1,506,18325,4816,
8091,0,0,4653,1815,
8093,0,0,16900,4718,
8095,2,0,4327,1037,
8097,1,4,17747,4417,
8099,1,0,12084,2840,
8101,2,32,163368,39318,
